"customer_name","gender","age","past_3_years_bike_related_purchases","job_title","job_industry_category","wealth_segment","owns_car","tenure","address","postcode","state","country","property_valuation"
"Tobias Woodhams","M",62,0,"Research Nurse","Health","Mass Customer","No",17,"4 Valley Edge Plaza","2759","NSW","Australia",9
"Glennis Flintoff","F",67,36,"Speech Pathologist","Health","Affluent Customer","Yes",13,"1601 Rutledge Lane","3030","VIC","Australia",7
"Chanda Mensler","F",51,15,"Computer Systems Analyst IV","Manufacturing","Mass Customer","Yes",13,"0 Mockingbird Plaza","2212","NSW","Australia",10
"Katheryn Kinner","F",50,15,"Analyst Programmer","Entertainment","High Net Worth","No",6,"1665 Kenwood Center","2518","NSW","Australia",6
"Sumner Carrivick","M",28,53,"Desktop Support Technician","Manufacturing","Mass Customer","No",15,"5 4th Center","2097","NSW","Australia",12
"Valerie Pickover","F",58,34,"Editor","Financial Services","Mass Customer","No",9,"92214 Spenser Road","2756","NSW","Australia",8
"Esther Rooson","F",42,14,"Cost Accountant","Financial Services","Mass Customer","No",5,"5186 Main Trail","2046","NSW","Australia",9
"Sean O'Loughlin","M",62,48,"Database Administrator III","Manufacturing","High Net Worth","Yes",16,"83 Old Gate Point","2576","NSW","Australia",10
"Pietra Buckleigh","F",74,9,"Engineer III","Retail","High Net Worth","No",13,"387 Dixon Alley","2024","NSW","Australia",10
"Marysa Rouchy","F",24,8,"Assistant Media Planner","Entertainment","Affluent Customer","No",5,"411 Twin Pines Way","2026","NSW","Australia",9
"Kahaleel","M",81,5,"GIS Technical Architect","Health","High Net Worth","No",13,"12 Arapahoe Park","2035","NSW","Australia",12
"Ossie Midden","M",73,49,"Physical Therapy Assistant","Manufacturing","Mass Customer","Yes",14,"4915 Debra Center","2479","NSW","Australia",9
"Sid Carlone","M",52,24,"Structural Engineer","Health","Affluent Customer","No",16,"76 Sunnyside Avenue","4670","QLD","Australia",2
"Ludovico Juster","M",31,93,"Environmental Specialist","Financial Services","Affluent Customer","No",15,"1 Talisman Avenue","2125","NSW","Australia",10
"Andromache Bonafacino","F",46,84,"Software Test Engineer I","Retail","Mass Customer","No",11,"74 Carpenter Street","2015","NSW","Australia",9
"Levy Abramamov","M",71,94,"Teacher","Manufacturing","Affluent Customer","Yes",14,"6776 Anderson Center","4037","QLD","Australia",8
"Jehu Prestedge","M",24,91,"Civil Engineer","Manufacturing","High Net Worth","Yes",8,"88 Annamark Avenue","2138","NSW","Australia",12
"Symon Mawne","M",80,18,"Human Resources Assistant IV","Property","Mass Customer","Yes",15,"37439 High Crossing Circle","3350","VIC","Australia",4
"Karlik Penchen","M",29,60,"Nurse Practicioner","Retail","Mass Customer","No",11,"5 Nevada Point","4017","QLD","Australia",6
"Bengt Bilson","M",51,26,"Structural Engineer","Manufacturing","High Net Worth","No",11,"67 Grayhawk Circle","2232","NSW","Australia",10
"Evangelin Boc","F",23,30,"Structural Analysis Engineer","Manufacturing","High Net Worth","Yes",14,"0 Meadow Ridge Street","3173","VIC","Australia",8
"Hanny Treven","F",32,84,"Associate Professor","Retail","Mass Customer","No",3,"5 Quincy Street","4118","QLD","Australia",4
"Gina Mallon","F",29,56,"Dental Hygienist","Health","Mass Customer","No",12,"13025 Johnson Plaza","4670","QLD","Australia",2
"Reynold Elman","M",83,19,"Marketing Manager","Manufacturing","Mass Customer","No",9,"966 Sunnyside Center","2390","NSW","Australia",2
"Flossy Concannon","F",43,64,"Staff Accountant IV","Financial Services","Affluent Customer","No",8,"802 Mallory Park","3919","VIC","Australia",2
"Cristen Wiltshire","F",62,59,"VP Sales","Financial Services","High Net Worth","Yes",15,"93 Judy Drive","3047","VIC","Australia",6
"Griffith Escot","M",77,50,"Accountant III","IT","Mass Customer","Yes",16,"94 Manitowish Court","4116","QLD","Australia",3
"Jamie Jiruca","F",60,21,"Recruiting Manager","Argiculture","Mass Customer","No",18,"5013 Erie Crossing","2230","NSW","Australia",9
"Lyon Brittan","M",51,14,"Sales Representative","Retail","High Net Worth","No",19,"540 Sachs Road","3153","VIC","Australia",8
"Aridatha Sephton","F",62,95,"Human Resources Assistant II","Argiculture","Mass Customer","No",5,"422 Forster Circle","2340","NSW","Australia",1
"Michal Bryan","F",54,1,"Research Assistant I","Manufacturing","Mass Customer","Yes",16,"4275 Bluestem Pass","4000","QLD","Australia",8
"Franciska Stigell","F",55,95,"Food Chemist","Health","Mass Customer","Yes",7,"6 Anderson Junction","3802","VIC","Australia",7
"Jordan Clampe","M",84,37,"Staff Scientist","Financial Services","Mass Customer","Yes",11,"276 Westend Road","4207","QLD","Australia",5
"David Napoleon","M",62,72,"Structural Engineer","Manufacturing","High Net Worth","No",14,"69 Garrison Point","2223","NSW","Australia",11
"Meriel Tapp","F",28,0,"VP Sales","IT","Mass Customer","No",5,"65 Milwaukee Hill","3280","VIC","Australia",2
"Frederik Milan","M",26,45,"Developer I","Health","Mass Customer","No",5,"56 Riverside Street","2546","NSW","Australia",5
"Rollo Louedey","M",77,64,"Information Systems Manager","Telecommunications","Affluent Customer","Yes",17,"7 Cascade Park","2089","NSW","Australia",9
"Jerrine Cosbey","F",45,21,"Junior Executive","Financial Services","High Net Worth","Yes",6,"29307 Russell Avenue","3094","VIC","Australia",9
"Roddy Rubinshtein","M",36,37,"Nurse Practicioner","Retail","Mass Customer","Yes",4,"3 Mcguire Crossing","4510","QLD","Australia",7
"Viki Coutts","F",71,2,"Automation Specialist II","Property","Mass Customer","Yes",7,"6 Golf View Alley","2287","NSW","Australia",4
"Ashby Bispham","M",42,71,"Software Consultant","Retail","Affluent Customer","No",4,"83716 Russell Lane","2145","NSW","Australia",8
"Alexander Broadbent","M",26,57,"Desktop Support Technician","Financial Services","Mass Customer","No",9,"265 Stephen Trail","2209","NSW","Australia",10
"Teddy Lagadu","F",54,86,"Design Engineer","Financial Services","High Net Worth","No",6,"2 Charing Cross Trail","2759","NSW","Australia",8
"Peria Rantoull","F",48,3,"Financial Analyst","Financial Services","Mass Customer","No",4,"8350 Moulton Terrace","4500","QLD","Australia",4
"Ludvig Andren","M",82,44,"Media Manager III","Entertainment","High Net Worth","Yes",15,"578 Waywood Circle","4306","QLD","Australia",5
"Elsworth Abbitt","M",67,71,"Physical Therapy Assistant","Health","Mass Customer","Yes",6,"9722 Northport Way","3500","VIC","Australia",3
"Rebeca Aggas","F",70,66,"Social Worker","Health","Affluent Customer","No",21,"7026 Katie Lane","3818","VIC","Australia",1
"Ricki Dobrowski","M",48,13,"Civil Engineer","Manufacturing","Mass Customer","Yes",9,"8 Eggendart Pass","2835","NSW","Australia",1
"Georgetta Lovett","F",83,42,"Editor","Retail","Mass Customer","No",12,"1 Bluejay Place","4405","QLD","Australia",1
"Bambi Cogger","F",33,51,"Design Engineer","Retail","Affluent Customer","Yes",5,"28970 Monument Lane","2560","NSW","Australia",7
"Aurie Rhead","F",61,78,"Geological Engineer","Manufacturing","Affluent Customer","Yes",5,"235 Mendota Court","2650","NSW","Australia",2
"Farris Skettles","M",58,38,"Payment Adjustment Coordinator","IT","Mass Customer","Yes",13,"49309 Redwing Lane","3240","VIC","Australia",7
"Sharline Abyss","F",63,11,"Physical Therapy Assistant","Manufacturing","Mass Customer","Yes",15,"367 Bay Point","4011","QLD","Australia",4
"Nowell Preddy","M",38,29,"Payment Adjustment Coordinator","Manufacturing","Mass Customer","No",9,"932 Glendale Avenue","2173","NSW","Australia",9
"Lacy Drance","F",45,27,"Graphic Designer","Manufacturing","Affluent Customer","Yes",14,"492 Waywood Lane","2750","NSW","Australia",8
"Padraig Snel","M",53,89,"Staff Accountant II","Retail","Mass Customer","No",19,"12683 Mifflin Point","2114","NSW","Australia",7
"Malorie Votier","F",33,90,"Graphic Designer","Manufacturing","Affluent Customer","No",4,"6160 Weeping Birch Hill","4509","QLD","Australia",5
"Shepperd Ricards","M",56,28,"Social Worker","Health","Mass Customer","Yes",16,"7 Oakridge Lane","2284","NSW","Australia",4
"Daryl Pauncefort","F",44,12,"Community Outreach Specialist","Financial Services","Mass Customer","Yes",12,"0 Dexter Parkway","2380","NSW","Australia",3
"Norina Blakeway","F",43,60,"Programmer Analyst II","Property","Mass Customer","Yes",3,"75813 Lawn Lane","3081","VIC","Australia",8
"My Chaston","M",57,92,"Desktop Support Technician","Manufacturing","Affluent Customer","Yes",16,"74613 Northport Park","3765","VIC","Australia",9
"Isak Bergstram","M",22,14,"Pharmacist","Health","Affluent Customer","Yes",15,"68 Karstens Pass","2176","NSW","Australia",9
"Grannie Cracker","M",74,28,"VP Marketing","Retail","Mass Customer","Yes",20,"87254 Hermina Pass","4217","QLD","Australia",8
"Welby Lourenco","M",48,6,"Senior Cost Accountant","Financial Services","High Net Worth","Yes",17,"801 Atwood Alley","2138","NSW","Australia",9
"Glenn Casbourne","F",42,4,"Senior Editor","Manufacturing","Mass Customer","No",6,"2 Morrow Alley","4207","QLD","Australia",1
"Nadiya Balasini","F",73,40,"Sales Associate","Financial Services","Mass Customer","No",15,"92934 Mallory Trail","2164","NSW","Australia",9
"Tyne Coate","F",58,82,"Developer II","Manufacturing","Mass Customer","No",17,"90820 Thackeray Street","2218","NSW","Australia",8
"Christie Anders","M",54,38,"VP Marketing","Retail","Mass Customer","No",16,"48 Ludington Plaza","2153","NSW","Australia",10
"Agnella Capener","F",54,58,"Teacher","Health","High Net Worth","No",19,"49185 Derek Circle","3977","VIC","Australia",6
"Bernardine Delmonti","F",52,39,"Desktop Support Technician","Property","Mass Customer","No",17,"0721 Meadow Ridge Pass","2540","NSW","Australia",8
"Daisy Spowart","F",56,60,"Staff Accountant I","Health","Affluent Customer","Yes",4,"115 Westridge Road","4570","QLD","Australia",3
"Denys Minshall","F",62,30,"Environmental Tech","Manufacturing","Affluent Customer","Yes",14,"7 Myrtle Lane","2324","NSW","Australia",8
"Archibald Blessed","M",54,61,"VP Sales","Financial Services","Mass Customer","Yes",18,"7795 Memorial Drive","2016","NSW","Australia",11
"Feodor Englishby","M",62,54,"Account Coordinator","Health","Mass Customer","No",11,"24695 Boyd Road","3201","VIC","Australia",5
"Skippie Yearsley","M",67,6,"Compensation Analyst","Financial Services","Mass Customer","No",9,"95306 John Wall Avenue","4350","QLD","Australia",5
"Bill","F",60,74,"Human Resources Assistant II","Property","Mass Customer","Yes",19,"6704 Pine View Lane","2170","NSW","Australia",9
"Roseanne Caruth","F",66,16,"Programmer Analyst III","Health","Mass Customer","No",7,"33652 Lyons Alley","2763","NSW","Australia",9
"Tedra Goodbanne","F",45,4,"Senior Quality Engineer","Property","Mass Customer","Yes",6,"8 Debs Road","3934","VIC","Australia",9
"Roberto Harme","M",72,27,"Environmental Tech","Financial Services","High Net Worth","No",10,"101 Starling Pass","2564","NSW","Australia",9
"Nichole Leisman","M",37,37,"Geologist III","Property","Affluent Customer","No",4,"35151 Bunker Hill Crossing","2068","NSW","Australia",12
"Amil Ennor","F",28,23,"Health Coach II","Health","Mass Customer","Yes",10,"2093 Amoth Pass","3109","VIC","Australia",11
"Shawna Hinrichsen","F",54,60,"Assistant Professor","Manufacturing","Affluent Customer","Yes",9,"57343 Eagan Avenue","2326","NSW","Australia",2
"Fonsie Levane","M",72,96,"Account Representative III","Manufacturing","High Net Worth","Yes",19,"83 Armistice Terrace","4011","QLD","Australia",3
"Emilie Brody","F",44,3,"Director of Sales","Financial Services","Mass Customer","Yes",3,"5388 Burrows Alley","2073","NSW","Australia",11
"Robert Corkill","M",47,55,"Clinical Specialist","Health","Mass Customer","No",4,"5612 Toban Point","2227","NSW","Australia",10
"Elvira Kurten","F",50,65,"Assistant Professor","Financial Services","High Net Worth","No",12,"65 Ridge Oak Court","2471","NSW","Australia",3
"Juliana Mitchenson","F",34,55,"Environmental Tech","Manufacturing","Mass Customer","Yes",8,"74 Russell Terrace","4350","QLD","Australia",4
"Regine Bownes","F",71,99,"Senior Developer","Retail","Affluent Customer","No",15,"255 Loeprich Lane","3752","VIC","Australia",9
"Abner Fraschetti","M",37,33,"Staff Scientist","Argiculture","Affluent Customer","No",13,"67 Northport Avenue","3805","VIC","Australia",7
"Alvira Coulman","F",68,42,"Account Representative II","Health","Affluent Customer","No",14,"823 Wayridge Trail","2205","NSW","Australia",9
"Sawyer Sponton","M",67,36,"Help Desk Technician","Property","Mass Customer","Yes",10,"5 Golf Terrace","2126","NSW","Australia",11
"Feodor Vickers","M",34,60,"VP Quality Control","Financial Services","Mass Customer","Yes",4,"40809 Truax Way","2209","NSW","Australia",6
"Paten Cayet","M",28,56,"Assistant Manager","Manufacturing","Affluent Customer","Yes",16,"1398 Burning Wood Way","3850","VIC","Australia",1
"Loria Tappington","F",68,72,"Research Assistant IV","Property","Mass Customer","No",5,"3920 Swallow Junction","3038","VIC","Australia",8
"Tanya Kiefer","F",31,54,"Speech Pathologist","Telecommunications","High Net Worth","No",7,"4 Warner Park","2146","NSW","Australia",9
"Devonne Alderwick","F",84,79,"Research Associate","Retail","High Net Worth","Yes",9,"534 Lien Lane","3122","VIC","Australia",7
"Omero McDonand","M",71,51,"Software Consultant","Manufacturing","Mass Customer","No",16,"48 Shoshone Park","2066","NSW","Australia",9
"Iain Haversham","M",73,92,"Sales Representative","Retail","Mass Customer","Yes",13,"170 Briar Crest Place","2120","NSW","Australia",10
"Keriann Newham","F",48,71,"Assistant Manager","Financial Services","Mass Customer","No",5,"0193 Northland Street","4179","QLD","Australia",9
"Conroy Rappaport","M",58,39,"Assistant Manager","Health","High Net Worth","No",9,"5219 Pearson Drive","2148","NSW","Australia",9
"Dorian Rustman","M",49,78,"Junior Executive","Manufacturing","Mass Customer","No",18,"6156 Summit Center","4352","QLD","Australia",7
"Quillan Guinane","M",77,36,"Community Outreach Specialist","Telecommunications","High Net Worth","Yes",21,"803 Badeau Point","2177","NSW","Australia",8
"Harlin Mazin","M",49,34,"Computer Systems Analyst I","Manufacturing","Mass Customer","Yes",13,"735 Westridge Road","2454","NSW","Australia",7
"Eustacia Dornan","F",38,68,"Account Representative IV","Property","Mass Customer","No",5,"1190 Hanson Street","3806","VIC","Australia",9
"Maury Galego","M",31,65,"Social Worker","Health","High Net Worth","Yes",3,"370 Division Junction","3032","VIC","Australia",10
"Reggie Kernar","F",52,26,"Senior Editor","Financial Services","High Net Worth","No",17,"90 Northport Hill","2228","NSW","Australia",10
"Kinna Kollasch","F",37,7,"Safety Technician I","Property","High Net Worth","No",9,"232 Knutson Park","4060","QLD","Australia",10
"Maurizio Comi","M",27,74,"VP Product Management","IT","Affluent Customer","No",10,"25805 Eagan Place","2766","NSW","Australia",9
"Elbertina Fendley","F",31,32,"Physical Therapy Assistant","Property","Affluent Customer","No",8,"743 Debra Court","2117","NSW","Australia",11
"Franklin Wohler","M",85,55,"Clinical Specialist","Health","Mass Customer","Yes",7,"6966 Delladonna Street","2250","NSW","Australia",8
"Allyson Petchell","F",53,16,"Human Resources Manager","Telecommunications","High Net Worth","No",10,"98221 Pennsylvania Place","2170","NSW","Australia",8
"Ermentrude Heindle","F",54,47,"GIS Technical Architect","Argiculture","Mass Customer","No",7,"307 Knutson Center","2226","NSW","Australia",10
"Alanna Lerway","F",79,26,"Dental Hygienist","Health","Mass Customer","Yes",11,"593 Alpine Drive","3195","VIC","Australia",12
"Vincent Jopke","M",51,6,"Analog Circuit Design manager","Property","Affluent Customer","No",16,"45788 Stang Plaza","3687","VIC","Australia",3
"Mandie Jeffryes","F",42,60,"Business Systems Development Analyst","Retail","High Net Worth","No",7,"96515 Di Loreto Pass","4109","QLD","Australia",9
"Collete Dory","F",33,66,"Information Systems Manager","Telecommunications","High Net Worth","No",2,"8625 Dakota Plaza","2210","NSW","Australia",9
"Leonid Dorricott","M",30,44,"Environmental Tech","Health","Affluent Customer","No",3,"02 Hoffman Road","2448","NSW","Australia",3
"Charlena Berney","F",57,55,"Geological Engineer","Manufacturing","High Net Worth","Yes",12,"496 Logan Center","4207","QLD","Australia",4
"Alfonso Massel","M",83,70,"Accountant I","Telecommunications","Mass Customer","Yes",13,"6065 Talisman Crossing","3977","VIC","Australia",7
"Engracia Dobbs","F",64,84,"Software Engineer I","Health","Mass Customer","No",15,"72 Eliot Place","2250","NSW","Australia",8
"Glyn","M",78,47,"General Manager","Manufacturing","Affluent Customer","Yes",21,"67 Bluejay Plaza","2300","NSW","Australia",9
"Rosemonde Cartwight","F",71,44,"Analyst Programmer","Retail","Mass Customer","Yes",7,"518 Paget Hill","4605","QLD","Australia",1
"Alano Satchel","M",25,2,"Recruiting Manager","Manufacturing","Mass Customer","No",2,"87107 Shelley Crossing","2429","NSW","Australia",7
"Corrine Baribal","F",75,19,"Senior Sales Associate","Manufacturing","Affluent Customer","Yes",12,"3 Mallory Circle","2170","NSW","Australia",8
"Benoit Harniman","M",47,31,"Research Assistant II","Telecommunications","Affluent Customer","No",9,"1582 Bashford Drive","4018","QLD","Australia",7
"Jeanne Darte","F",68,70,"Engineer II","Manufacturing","Mass Customer","Yes",11,"3 Homewood Park","2756","NSW","Australia",7
"Jenelle Fearnill","F",65,12,"Social Worker","Health","High Net Worth","No",19,"06 Old Gate Park","2144","NSW","Australia",9
"Tannie Gambrell","M",56,92,"Financial Analyst","Financial Services","Affluent Customer","No",4,"49 Surrey Point","4710","QLD","Australia",4
"Mick Macewan","M",56,32,"Senior Cost Accountant","Financial Services","Mass Customer","No",16,"59254 Northland Alley","2032","NSW","Australia",10
"Abbie Oldman","M",40,82,"Operator","Health","High Net Worth","Yes",5,"4 North Drive","2168","NSW","Australia",8
"Tabbie Curner","M",26,12,"Chief Design Engineer","Retail","Mass Customer","No",6,"89 Parkside Street","3021","VIC","Australia",6
"Shane Killen","M",67,28,"Account Executive","Entertainment","High Net Worth","No",10,"7 Hazelcrest Place","2165","NSW","Australia",8
"Roberta Goodale","F",76,9,"Information Systems Manager","Property","Mass Customer","Yes",22,"013 David Junction","4211","QLD","Australia",7
"Kippy Barabisch","M",23,11,"Legal Assistant","Manufacturing","Mass Customer","No",4,"840 Graceland Street","2125","NSW","Australia",11
"Rosalinde Cubuzzi","F",26,50,"Business Systems Development Analyst","Telecommunications","Mass Customer","No",5,"6 Lotheville Trail","2444","NSW","Australia",7
"Cami Barnbrook","F",60,8,"Occupational Therapist","Health","Affluent Customer","Yes",18,"890 Truax Lane","4285","QLD","Australia",2
