"customer_name","gender","age","customer_id","past_3_years_bike_related_purchases","DOB","job_title","job_industry_category","wealth_segment","owns_car","tenure"
"Molli Hagergham","F",22,"2812",16,2001-04-01,"Budget/Accounting Analyst IV",NA,"High Net Worth","Yes",1
"Terrijo Merlin","F",22,"3014",59,2001-03-30,"Software Engineer II",NA,"High Net Worth","No",1
"Darnell Wistance","M",22,"2600",55,2001-03-03,"Senior Financial Analyst","Financial Services","Mass Customer","Yes",1
"Byran Goodfield","M",22,"829",84,2001-01-22,"Environmental Tech","Financial Services","High Net Worth","Yes",2
"Gavra Woolvin","F",22,"2869",19,2001-01-16,NA,"Manufacturing","Affluent Customer","No",2
"Isadora Gronaller","F",22,"2392",48,2001-01-11,"Marketing Assistant","Manufacturing","Affluent Customer","No",2
"Kimball Martinho","M",22,"2588",37,2001-01-02,"Professor",NA,"High Net Worth","No",2
"Quintana Housley","F",23,"2998",34,2000-12-19,"Nurse Practicioner","Manufacturing","High Net Worth","Yes",2
"Melisse Massei","F",23,"3367",75,2000-12-05,"Librarian","Entertainment","Mass Customer","Yes",1
"Emelda Ramsdell","F",23,"3459",62,2000-11-24,NA,"Entertainment","Mass Customer","Yes",2
"Margalit Dorwood","F",23,"609",32,2000-11-06,"Computer Systems Analyst II","Health","Mass Customer","No",1
"Andie Bonney","F",23,"852",37,2000-11-04,"Compensation Analyst","Financial Services","Affluent Customer","Yes",2
"Dayle Spearman","F",23,"913",67,2000-10-28,NA,"Financial Services","Mass Customer","No",1
"Mort","M",23,"2989",37,2000-10-25,"Dental Hygienist","Health","High Net Worth","Yes",2
"Charisse Thoresby","F",23,"854",35,2000-10-24,"Marketing Manager",NA,"Affluent Customer","No",2
"Karee Hyman","F",23,"1354",0,2000-10-15,"Analyst Programmer","Financial Services","Affluent Customer","No",2
"Eunice Risom","F",23,"1798",46,2000-10-11,"Electrical Engineer","Manufacturing","High Net Worth","Yes",1
"Mirelle","F",23,"2398",6,2000-10-11,"Administrative Assistant IV","Financial Services","High Net Worth","Yes",1
"Nevin Hanfrey","M",23,"850",79,2000-09-24,"Clinical Specialist","Health","Mass Customer","No",1
"Queenie Flips","F",23,"3015",25,2000-09-02,"Assistant Manager","Retail","Affluent Customer","No",1
"Eva Colenutt","F",23,"373",95,2000-08-26,"Structural Analysis Engineer","Health","High Net Worth","Yes",1
"Emelen Gillopp","M",23,"3077",19,2000-08-11,"Information Systems Manager","Manufacturing","Affluent Customer","No",2
"Sascha St. Quintin","M",23,"110",23,2000-07-31,NA,"Financial Services","Affluent Customer","No",1
"Emera Margrem","F",23,"1778",72,2000-07-30,"Staff Accountant III",NA,"Mass Customer","Yes",2
"Xena Rossbrooke","F",23,"1185",17,2000-07-23,"VP Product Management",NA,"Mass Customer","Yes",2
"Elinor Biggerstaff","F",23,"2024",69,2000-07-14,"VP Sales","IT","Mass Customer","Yes",2
"Erroll Radage","M",23,"15",91,2000-07-13,"Junior Executive","Manufacturing","Mass Customer","No",1
"Ado Yaldren","M",23,"2645",20,2000-06-26,"Technical Writer","IT","High Net Worth","Yes",1
"Rockie MacCosty","M",23,"1951",93,2000-06-07,"Health Coach II","Manufacturing","Mass Customer","Yes",2
"Siegfried Trattles","M",23,"1076",33,2000-06-06,"Pharmacist","Health","Affluent Customer","No",2
"Meagan Ferry","F",23,"2731",74,2000-05-18,"Accounting Assistant III","Retail","Mass Customer","Yes",1
"Roch Rilston","F",23,"3482",71,2000-05-18,"Clinical Specialist","Health","Affluent Customer","Yes",2
"Meggi Shipcott","F",23,"2729",76,2000-05-10,"General Manager",NA,"Mass Customer","Yes",1
"Aloysius Huffer","M",23,"2504",52,2000-04-29,NA,"Property","Mass Customer","No",2
"Rabi Nissle","M",23,"519",83,2000-04-07,NA,NA,"Mass Customer","Yes",1
"Zed Blanckley","M",23,"3201",61,2000-03-31,"Assistant Professor","Financial Services","Mass Customer","Yes",1
"Hobart Burgan","M",23,"3960",6,2000-03-16,NA,"Property","Mass Customer","No",1
"Cleveland Islep","M",23,"2541",17,2000-03-14,"Software Engineer II","Financial Services","High Net Worth","Yes",2
"Orson Tythacott","M",23,"3363",25,2000-03-08,"Electrical Engineer","Manufacturing","High Net Worth","Yes",3
"Wood Nathan","M",23,"3089",27,2000-02-24,"Web Developer III","Manufacturing","Affluent Customer","Yes",2
"Crosby Ruoff","M",23,"2134",16,2000-02-21,"Nurse","Manufacturing","Affluent Customer","No",2
"Richardo Cocher","M",23,"2938",79,2000-02-21,"Assistant Manager","Argiculture","Affluent Customer","No",2
"Niki Heathcote","M",23,"59",60,2000-02-08,"Physical Therapy Assistant",NA,"High Net Worth","No",3
"Archaimbaud McAteer","M",23,"3954",63,2000-02-03,"Human Resources Assistant III","Financial Services","High Net Worth","No",2
"Christyna Feldberg","F",23,"1390",74,2000-01-25,"Accounting Assistant I","Retail","High Net Worth","Yes",1
"Marris Waison","F",23,"1392",28,2000-01-15,"Human Resources Manager","Financial Services","Mass Customer","No",1
"Odilia Bick","F",23,"2337",47,2000-01-11,"Programmer Analyst II","Health","Mass Customer","No",1
"Sebastian Trass","M",23,"1229",38,2000-01-08,"GIS Technical Architect","Manufacturing","Affluent Customer","Yes",1
"Alexandro McCullock","M",23,"3850",55,2000-01-07,"Accountant III",NA,"Mass Customer","Yes",2
"Griselda Bezants","F",24,"3423",57,1999-12-27,"Registered Nurse","Health","Affluent Customer","No",1
"Monah Talbot","F",24,"1080",70,1999-12-26,"Speech Pathologist","Property","Mass Customer","Yes",2
"Alvy Tyndall","M",24,"2431",15,1999-12-24,"Senior Cost Accountant","Financial Services","Mass Customer","Yes",2
"Jerome Muggeridge","M",24,"435",5,1999-12-23,"GIS Technical Architect","Telecommunications","Mass Customer","No",1
"Tomlin Hastwall","M",24,"644",59,1999-12-22,"Administrative Officer","Health","Affluent Customer","No",2
"Samuele Heller","M",24,"3675",88,1999-12-17,"Analog Circuit Design manager","Property","Affluent Customer","Yes",1
"Cy Braim","M",24,"2833",60,1999-11-26,NA,"IT","Mass Customer","Yes",3
"Ozzy Silver","M",24,"1599",65,1999-11-24,NA,NA,"Affluent Customer","No",1
"Baxie","M",24,"3651",91,1999-11-15,"Human Resources Assistant I","Manufacturing","Mass Customer","No",2
"Nina Murcutt","F",24,"803",96,1999-11-11,"Nuclear Power Engineer","Manufacturing","High Net Worth","No",3
"Andrea Wildber","M",24,"3063",74,1999-11-04,"VP Sales","Financial Services","Affluent Customer","No",2
"Tonnie Andryunin","M",24,"1436",40,1999-10-29,"General Manager",NA,"Affluent Customer","No",3
"Darrelle Rosas","F",24,"3650",85,1999-10-21,"Office Assistant I","IT","Mass Customer","Yes",2
"Sylvan Sugge","M",24,"1811",59,1999-10-13,NA,"Financial Services","Mass Customer","No",1
"Reinhold Barthrup","M",24,"3460",22,1999-10-10,"Actuary","Financial Services","Mass Customer","No",2
"April Causon","F",24,"967",44,1999-10-04,"Sales Associate","Manufacturing","Affluent Customer","Yes",1
"Hyacinthia Tuley","F",24,"2006",33,1999-10-04,"Senior Developer","Property","High Net Worth","Yes",2
"Meryl Dumbar","M",24,"951",44,1999-09-29,"Assistant Media Planner","Entertainment","Mass Customer","No",1
"Clara Jakel","F",24,"2342",87,1999-09-17,NA,NA,"Mass Customer","No",2
"Hyacinthia Crain","F",24,"3757",75,1999-09-12,"Information Systems Manager",NA,"Affluent Customer","No",2
"Salem Doiley","M",24,"2093",94,1999-09-10,"Programmer II","Financial Services","High Net Worth","No",2
"Kellia Martugin","F",24,"2521",35,1999-08-29,"Chemical Engineer","Manufacturing","High Net Worth","Yes",3
"Viki Drache","F",24,"3055",96,1999-08-23,"General Manager",NA,"Mass Customer","Yes",2
"Mahmud Dobbson","M",24,"842",59,1999-08-16,"Compensation Analyst","Financial Services","High Net Worth","No",2
"Thorn Torfin","M",24,"1028",10,1999-08-11,"Project Manager",NA,"High Net Worth","No",1
"Aarika Van Vuuren","F",24,"164",55,1999-08-07,"Senior Editor","Retail","Affluent Customer","Yes",1
"Katrina Sappson","F",24,"931",59,1999-08-07,"Design Engineer","Manufacturing","Affluent Customer","Yes",1
"Karen La Wille","F",24,"2755",66,1999-07-28,"Automation Specialist I","Manufacturing","Mass Customer","Yes",1
"Winny Cakes","M",24,"2929",97,1999-07-28,"Nurse","Retail","Mass Customer","No",2
"Cliff Nolin","M",24,"3386",24,1999-07-28,"Structural Engineer","IT","High Net Worth","Yes",2
"Kalli Pigeram","F",24,"1430",86,1999-07-24,"Biostatistician I","Manufacturing","Mass Customer","Yes",3
"Boyd","M",24,"3188",94,1999-07-07,"Actuary","Financial Services","Mass Customer","No",1
"Leanora Calbert","F",24,"2259",83,1999-07-02,"Environmental Specialist",NA,"Affluent Customer","No",2
"Nicolas Burdass","M",24,"3989",75,1999-06-23,"Environmental Specialist","Argiculture","Affluent Customer","Yes",1
"Allyson Simak","F",24,"3953",79,1999-06-18,"Help Desk Operator","Health","Affluent Customer","Yes",2
"Henrietta Seater","F",24,"804",98,1999-06-17,"Technical Writer",NA,"High Net Worth","Yes",1
"Marc Egleton","M",24,"914",73,1999-06-16,"Chemical Engineer","Manufacturing","Affluent Customer","Yes",2
"Dolf Serridge","M",24,"3908",64,1999-06-09,"Junior Executive","Health","High Net Worth","No",1
"Lettie McGenis","F",24,"3152",6,1999-06-07,"Teacher","Financial Services","High Net Worth","Yes",3
"Horacio Kitchin","M",24,"2543",41,1999-06-03,"Web Developer III",NA,"Affluent Customer","No",2
"Hewett Alessandretti","M",24,"1984",70,1999-06-01,"Information Systems Manager","Health","Mass Customer","Yes",1
"Fredi Iannuzzelli","F",24,"334",71,1999-05-20,"Financial Advisor","Financial Services","Affluent Customer","Yes",3
"Levy Bonavia","M",24,"377",65,1999-05-19,"Staff Scientist","Argiculture","Mass Customer","No",1
"Dev Hafner","M",24,"351",69,1999-05-12,"Pharmacist","Health","Mass Customer","Yes",2
"Eda MacCheyne","F",24,"3133",89,1999-05-10,"Quality Control Specialist","Manufacturing","Mass Customer","No",2
"Henderson Koubek","M",24,"2620",26,1999-04-30,"Civil Engineer","Manufacturing","Mass Customer","No",1
"Elysee Spurr","F",24,"3379",51,1999-04-30,"Food Chemist","Health","Mass Customer","Yes",2
"Stephana Minero","F",24,"361",59,1999-03-27,"Software Engineer IV","Health","Mass Customer","Yes",2
"Tish Netti","F",24,"421",26,1999-03-19,"Sales Representative","Retail","Mass Customer","Yes",2
"Jayme Baunton","F",24,"586",63,1999-03-15,"Chief Design Engineer","Manufacturing","Mass Customer","No",4
"Reinwald Sinkins","M",24,"2741",6,1999-02-28,"Statistician II","Property","High Net Worth","No",4
"Sybilla O' Markey","F",24,"3131",63,1999-02-24,NA,"Retail","Affluent Customer","Yes",3
"Caryl Linnett","M",24,"875",34,1999-02-23,"Recruiting Manager","Financial Services","Mass Customer","Yes",2
"Orlando Gniewosz","M",24,"2704",6,1999-02-08,"Account Representative IV","Retail","Affluent Customer","Yes",3
"Anselma Rennie","F",24,"3772",45,1999-02-07,"Physical Therapy Assistant","Manufacturing","Mass Customer","Yes",2
"Scottie Swiffen","M",24,"116",49,1999-02-05,"Assistant Professor","Manufacturing","Affluent Customer","Yes",2
"Georgie Henze","M",24,"3357",25,1999-02-01,"Design Engineer","Manufacturing","Affluent Customer","No",4
"Bjorn Isitt","M",24,"2744",59,1999-01-25,"Senior Financial Analyst","Financial Services","Mass Customer","No",3
"Davita Pristnor","F",24,"1724",28,1999-01-24,"Assistant Media Planner","Entertainment","High Net Worth","Yes",4
"Loraine Beamish","F",24,"2302",43,1999-01-09,"Mechanical Systems Engineer","Retail","Mass Customer","Yes",4
"Cammy Marcroft","M",25,"906",73,1998-12-30,"Financial Analyst","Financial Services","High Net Worth","Yes",3
"Lorianna Vidyapin","F",25,"772",12,1998-12-26,"Community Outreach Specialist","Entertainment","Mass Customer","No",4
"Marc Waddilove","M",25,"826",92,1998-12-25,"Recruiting Manager","Financial Services","Mass Customer","Yes",1
"Robers Richen","M",25,"3494",72,1998-12-24,"Account Representative IV","Argiculture","High Net Worth","No",1
"Rodger Gores","M",25,"3674",59,1998-12-24,"Tax Accountant","Property","Mass Customer","No",3
"Ganny Alessandrelli","M",25,"2203",13,1998-12-23,"Sales Associate","Health","High Net Worth","Yes",2
"Merilyn Dikle","F",25,"1415",68,1998-12-14,"Executive Secretary","Property","High Net Worth","Yes",3
"Philippine Maycey","F",25,"2828",37,1998-12-14,NA,"Health","High Net Worth","Yes",4
"Trisha Basset","F",25,"2201",56,1998-12-12,"Design Engineer","Financial Services","Affluent Customer","Yes",1
"Lindsay Acaster","F",25,"704",49,1998-12-08,"Research Nurse","Health","Mass Customer","No",4
"Rosabelle Hollington","F",25,"1534",74,1998-11-30,"Human Resources Assistant I","Manufacturing","Mass Customer","No",4
"Phelia Perotti","F",25,"774",79,1998-11-27,"Operator","Manufacturing","High Net Worth","No",1
"Hiram Kittiman","M",25,"1432",70,1998-11-26,"Tax Accountant","Argiculture","High Net Worth","Yes",2
"Laraine Merioth","F",25,"2016",89,1998-11-19,"Executive Secretary","Retail","Affluent Customer","Yes",1
"Betsy Schruurs","F",25,"1278",14,1998-11-15,"Pharmacist","Health","Affluent Customer","No",2
"Morissa Ozintsev","F",25,"1428",93,1998-11-15,"Sales Representative","Retail","High Net Worth","No",1
"Elizabeth Christy","F",25,"3774",38,1998-11-07,"Statistician I","Property","High Net Worth","No",2
"Franzen Kielty","M",25,"2147",42,1998-11-04,"Engineer IV",NA,"High Net Worth","Yes",1
"Gerome Lawrenz","M",25,"2626",42,1998-10-24,"Account Coordinator","Property","Affluent Customer","Yes",4
"Cicily Jenks","F",25,"1334",72,1998-10-23,"Senior Financial Analyst","Financial Services","Mass Customer","No",4
"Keven Leahair","M",25,"2875",71,1998-10-23,"Financial Analyst","Financial Services","High Net Worth","No",2
"Antonino Hogben","M",25,"1187",65,1998-10-21,NA,"Financial Services","Mass Customer","No",1
"Lauretta Furmonger","F",25,"2365",2,1998-10-18,"Structural Analysis Engineer","Argiculture","Mass Customer","Yes",3
"Myrta Whibley","F",25,"2427",20,1998-10-15,"Senior Developer",NA,"High Net Worth","Yes",2
"Jeth Tomes","M",25,"2266",74,1998-10-11,NA,"Retail","High Net Worth","No",1
"Joachim","M",25,"3095",14,1998-10-11,"Staff Accountant IV","Retail","High Net Worth","Yes",2
"Carmelia Klimentyonok","F",25,"3867",14,1998-10-09,"Geologist II","IT","Mass Customer","Yes",1
"Kristien Dunne","F",25,"2377",29,1998-10-02,"Analog Circuit Design manager","IT","High Net Worth","No",2
"Lavina Clavey","F",25,"1380",99,1998-09-30,"Financial Analyst","Financial Services","Mass Customer","No",3
"Cary Cockerham","M",25,"2300",20,1998-09-26,NA,"Financial Services","Mass Customer","Yes",3
"Cissy Jeffress","F",25,"3332",43,1998-09-24,"Account Representative III","Health","Mass Customer","No",3
"Ford Groucock","M",25,"331",87,1998-09-23,"Desktop Support Technician","Health","Mass Customer","Yes",3
"Marcile Carren","F",25,"1384",48,1998-09-09,"Quality Control Specialist","Manufacturing","Mass Customer","No",2
"Sabina Tarbin","F",25,"3858",57,1998-08-31,"Librarian","Entertainment","Mass Customer","Yes",1
"Hebert Bernocchi","M",25,"945",59,1998-08-26,"Human Resources Manager",NA,"High Net Worth","Yes",1
"Leonardo Brennon","M",25,"3136",60,1998-08-25,"Marketing Manager","Retail","Mass Customer","Yes",3
"Kari Bamlett","F",25,"3716",81,1998-08-24,NA,"Retail","Affluent Customer","No",1
"Sydel Seccombe","F",25,"2224",3,1998-08-18,"Budget/Accounting Analyst III","Retail","High Net Worth","Yes",4
"Cordelia","F",25,"2615",23,1998-08-13,"Nurse","Financial Services","Mass Customer","Yes",1
"Benoite Trahmel","F",25,"3544",25,1998-08-13,"Help Desk Technician",NA,"Affluent Customer","No",1
"Mike Geggus","M",25,"2549",12,1998-08-07,"Pharmacist","Health","Mass Customer","Yes",4
"Leyla Eddington","F",25,"2044",84,1998-08-02,"Quality Engineer","Health","Mass Customer","Yes",1
"Loise Austins","F",25,"1680",5,1998-07-28,"Desktop Support Technician","Property","Mass Customer","Yes",4
"Trstram Bondesen","M",25,"370",91,1998-07-27,NA,"Telecommunications","Affluent Customer","Yes",3
"Malissia Minthorpe","F",25,"3070",74,1998-07-27,"Account Executive","Health","Affluent Customer","Yes",1
"Andras Yurocjkin","M",25,"2737",28,1998-07-20,NA,"Retail","Mass Customer","Yes",3
"Esma Rycroft","F",25,"1714",80,1998-06-26,"Senior Sales Associate","Property","High Net Worth","Yes",4
"Humfrid Ducket","M",25,"1152",47,1998-06-23,"Business Systems Development Analyst","Financial Services","Mass Customer","Yes",3
"Caryn Padbury","F",25,"3985",44,1998-06-21,"Web Developer IV","Property","Mass Customer","No",4
"Haydon Berkery","M",25,"1459",89,1998-06-16,"Senior Sales Associate","Manufacturing","Mass Customer","No",4
"Reggie Mulliner","M",25,"99",97,1998-06-13,"VP Accounting","Financial Services","Mass Customer","No",3
"Christie MacClure","F",25,"2292",17,1998-06-02,"Research Nurse","Health","Mass Customer","Yes",2
"Flor Agnew","F",25,"3030",68,1998-05-21,"Technical Writer","Manufacturing","Affluent Customer","No",3
"Garrek Rowbotham","M",25,"1736",83,1998-05-10,"Associate Professor","IT","Affluent Customer","No",4
"Saunder Newens","M",25,"2648",60,1998-05-09,"Account Representative I",NA,"Affluent Customer","No",1
"Edgar Ordish","M",25,"3216",59,1998-05-08,"Database Administrator III","Manufacturing","Mass Customer","Yes",1
"Michal Paiton","M",25,"1142",95,1998-05-07,"Desktop Support Technician","Telecommunications","Mass Customer","No",2
"Ericka Eggers","F",25,"1302",29,1998-05-03,"Biostatistician I","Financial Services","Affluent Customer","Yes",2
"Cordie Disbrow","F",25,"1496",22,1998-05-02,"Human Resources Manager","IT","Affluent Customer","No",3
"Karissa Cabral","F",25,"3433",10,1998-04-28,"Computer Systems Analyst II","Property","Mass Customer","No",2
"Angeli O'Hegertie","M",25,"632",67,1998-04-26,"General Manager","Health","Mass Customer","No",1
"Vi Lauga","F",25,"1413",47,1998-04-24,"Administrative Assistant II","Financial Services","Mass Customer","No",3
"Fawnia Bartrum","F",25,"810",24,1998-04-04,"Software Test Engineer IV","Health","Mass Customer","Yes",1
"Phillie Bradforth","F",25,"1196",23,1998-03-19,"Research Nurse","Health","Mass Customer","No",2
"Syman Trimnell","M",25,"1963",81,1998-03-18,"Biostatistician I","Argiculture","Mass Customer","Yes",4
"Emmy Jenton","F",25,"2714",50,1998-03-17,"Occupational Therapist","Health","High Net Worth","Yes",1
"Maryann","F",25,"2101",71,1998-03-08,"General Manager",NA,"Mass Customer","Yes",2
"Reynard Hagger","M",25,"3990",99,1998-03-05,"Desktop Support Technician","Health","High Net Worth","No",1
"Thedric","M",25,"2189",43,1998-02-25,"Safety Technician II","Financial Services","High Net Worth","No",4
"Peg Cliff","F",25,"3281",67,1998-02-22,"Administrative Assistant III",NA,"Mass Customer","No",4
"Mella Petrovsky","F",25,"604",72,1998-02-10,"Help Desk Operator","IT","Affluent Customer","No",3
"Mariel Dyke","F",25,"1971",49,1998-02-10,NA,"Manufacturing","Mass Customer","Yes",4
"Hermy Casement","M",25,"3663",62,1998-02-10,"Information Systems Manager",NA,"Affluent Customer","No",1
"Darrelle Michie","F",25,"2988",20,1998-02-02,"Administrative Officer",NA,"Mass Customer","Yes",1
"Flory Standering","M",25,"2710",77,1998-01-30,NA,"Retail","Mass Customer","No",2
"Clarissa Blaisdale","F",25,"2133",44,1998-01-20,"General Manager","Financial Services","High Net Worth","No",3
"Tommie Mardle","M",25,"2161",35,1998-01-14,NA,"Financial Services","Mass Customer","No",4
"Marijn Arnoll","M",25,"2198",1,1998-01-10,"Editor","Property","Affluent Customer","Yes",1
"Denyse Scutts","F",25,"3219",94,1998-01-06,"Web Developer III","Financial Services","Mass Customer","No",3
"Cyndia Gull","F",25,"1466",62,1998-01-05,"Cost Accountant","Financial Services","High Net Worth","Yes",2
"Adler Dredge","M",26,"3943",19,1997-12-30,"VP Accounting","Financial Services","Affluent Customer","No",2
"Brunhilde Kendall","F",26,"2187",52,1997-12-27,"Budget/Accounting Analyst I","Health","Mass Customer","No",2
"Artemas Kyncl","M",26,"3917",79,1997-12-26,"Chemical Engineer","Manufacturing","Mass Customer","No",4
"Katy Taffee","F",26,"1623",29,1997-12-24,"Software Test Engineer III","Entertainment","High Net Worth","Yes",2
"Isabelita Kitchener","F",26,"1865",35,1997-12-24,"Office Assistant III",NA,"Mass Customer","No",3
"Lila Eyeington","F",26,"2865",11,1997-12-14,"Electrical Engineer","Manufacturing","High Net Worth","No",3
"Dinnie Worsom","F",26,"3050",90,1997-12-04,NA,NA,"High Net Worth","No",5
"Royall Slimings","M",26,"390",83,1997-11-25,"Programmer Analyst II","Health","Affluent Customer","No",3
"Patrizius Hardinge","M",26,"887",55,1997-11-17,NA,"Manufacturing","High Net Worth","No",1
"Brigham Vyse","M",26,"2298",64,1997-10-28,"Environmental Tech","Property","Mass Customer","Yes",5
"Breena Risebrow","F",26,"1156",22,1997-10-16,"Marketing Assistant","Argiculture","Mass Customer","Yes",1
"Isobel Lampett","F",26,"1197",44,1997-10-16,"Professor","Financial Services","High Net Worth","Yes",5
"Wilfrid Cleaves","M",26,"3502",5,1997-10-16,"Senior Sales Associate","Retail","High Net Worth","Yes",3
"Gerek Chape","M",26,"1527",23,1997-10-15,"Chemical Engineer","Manufacturing","Mass Customer","No",2
"Zulema Cristofolo","F",26,"3413",93,1997-10-15,"VP Accounting","Financial Services","Mass Customer","No",3
"Kerry Ford","F",26,"1753",6,1997-10-12,"VP Product Management","Health","High Net Worth","Yes",1
"Haley Dessent","M",26,"3481",37,1997-10-12,"Systems Administrator IV","Manufacturing","High Net Worth","No",4
"Codie Arnecke","M",26,"1251",63,1997-10-01,"Desktop Support Technician","Property","Mass Customer","No",2
"Mabel Marousek","F",26,"1207",30,1997-09-25,"Engineer IV","Health","Mass Customer","No",1
"Ines Galfour","F",26,"3587",85,1997-09-24,NA,NA,"Affluent Customer","No",2
"Lambert Vardey","M",26,"1899",29,1997-09-02,NA,"Retail","Affluent Customer","Yes",4
"Chicky Butterfield","M",26,"3609",69,1997-09-02,"Marketing Manager","Manufacturing","Mass Customer","No",4
"Linnea Jeacop","F",26,"2781",4,1997-09-01,"VP Sales","Financial Services","Affluent Customer","Yes",5
"Ebony Peagrim","F",26,"3753",16,1997-08-21,"Office Assistant II","Manufacturing","Mass Customer","No",3
"Cosette Callar","F",26,"1897",58,1997-08-20,"Product Engineer",NA,"Mass Customer","Yes",1
"Sibylla Marlon","F",26,"1335",57,1997-08-14,NA,"Entertainment","Mass Customer","Yes",3
"Dionysus Elmhurst","M",26,"2550",34,1997-08-12,"Pharmacist","Health","Mass Customer","Yes",4
"Vikki Tett","F",26,"1549",87,1997-08-06,NA,"Financial Services","Affluent Customer","Yes",4
"Dannie Hissie","F",26,"183",7,1997-08-05,"Geologist III","Retail","Affluent Customer","No",3
"Agneta Swiggs","F",26,"1491",96,1997-08-03,"Senior Sales Associate","Health","Mass Customer","Yes",4
"Dur Knappen","M",26,"3198",66,1997-08-02,"Media Manager III","Manufacturing","Mass Customer","Yes",1
"Merna McCulloch","F",26,"134",34,1997-08-01,"Legal Assistant","Telecommunications","Affluent Customer","Yes",5
"Sydney Georger","M",26,"278",22,1997-07-30,"Executive Secretary",NA,"Affluent Customer","Yes",4
"Ario Jeromson","M",26,"1025",69,1997-07-30,"Quality Engineer","IT","Mass Customer","Yes",5
"El Toupe","M",26,"677",59,1997-07-28,"Senior Cost Accountant","Financial Services","Mass Customer","No",5
"Goddard Benthall","M",26,"2930",46,1997-07-25,"Assistant Media Planner","Entertainment","Mass Customer","No",3
"Filippo Ferrara","M",26,"145",33,1997-07-21,"Account Executive","Financial Services","Mass Customer","No",4
"Hurlee Fasson","M",26,"3157",46,1997-07-19,NA,"Retail","Mass Customer","Yes",1
"Raddy Delete","M",26,"130",32,1997-07-18,"Chemical Engineer","Manufacturing","Mass Customer","No",1
"Massimo Seymour","M",26,"663",27,1997-07-17,"VP Sales","Property","Affluent Customer","Yes",3
"Laina Semorad","F",26,"2167",31,1997-07-11,"Librarian","Entertainment","Mass Customer","No",1
