"customer_name","gender","age","past_3_years_bike_related_purchases","DOB","job_title","job_industry_category","wealth_segment","owns_car","tenure","address","postcode","state","country","property_valuation"
"Karly Willavize","F",69,2,1954-08-12,"Internal Auditor","Manufacturing","High Net Worth","No",12,"193 North Point","2190","NSW","Australia",10
"Teddie Burchill","M",55,11,1968-12-21,"Programmer I","Manufacturing","Mass Customer","Yes",13,"321 Raven Plaza","2161","NSW","Australia",9
"Gaston Dallaghan","M",30,44,1993-09-29,"Financial Analyst","Financial Services","Mass Customer","Yes",8,"656 Fuller Street","2783","NSW","Australia",7
"Otis Ottey","M",25,26,1998-02-05,"Quality Engineer",NA,"Mass Customer","No",3,"1562 Merchant Street","4744","QLD","Australia",4
"Brena Schnitter","F",41,78,1982-10-11,"Account Executive","Manufacturing","Mass Customer","No",4,"67 Shelley Street","4703","QLD","Australia",5
"Rourke Gillbard","M",78,11,1945-08-03,NA,"Property","Mass Customer","No",17,"75 Cordelia Trail","4817","QLD","Australia",4
"Dyane Burwell","F",71,19,1952-06-27,"Engineer II","Retail","Mass Customer","Yes",7,"51 Hooker Court","2640","NSW","Australia",2
"Claudine Barstowk","F",57,71,1966-07-20,"Nurse","Property","High Net Worth","Yes",5,"1859 Forest Circle","4000","QLD","Australia",11
"Blinnie Roze","F",63,84,1960-12-10,"Librarian","Entertainment","High Net Worth","No",11,"44557 Rutledge Court","4171","QLD","Australia",7
"Rhona De Freyne","F",63,45,1960-11-22,NA,"Health","High Net Worth","No",8,"11184 East Drive","3056","VIC","Australia",10
"Sharron Claibourn","F",43,62,1980-01-26,NA,"Financial Services","High Net Worth","Yes",17,"555 Hermina Avenue","2280","NSW","Australia",8
"Brien Heaton","M",72,70,1951-11-28,"Clinical Specialist","Health","Mass Customer","Yes",12,"8 Novick Trail","2470","NSW","Australia",2
"Sybilla MacCart","F",36,88,1987-01-15,"Paralegal","Financial Services","Mass Customer","Yes",7,"74 Welch Pass","2620","NSW","Australia",7
"Mikel McNess","M",42,71,1981-09-22,"Nurse",NA,"Mass Customer","No",9,"3 Pleasure Drive","4122","QLD","Australia",9
"Arleen Casbolt","F",48,48,1975-05-10,"Senior Quality Engineer","Financial Services","Affluent Customer","Yes",13,"41042 Lotheville Crossing","4817","QLD","Australia",1
"Farlie Petford","M",55,76,1968-03-25,"Recruiting Manager",NA,"High Net Worth","No",13,"2330 Butternut Trail","2017","NSW","Australia",10
"Mitchell MacCague","M",44,58,1979-04-11,NA,"Manufacturing","Mass Customer","No",15,"240 Acker Avenue","3190","VIC","Australia",8
"Garik Whitwell","M",68,44,1955-06-13,NA,"Property","Mass Customer","Yes",13,"04 Dexter Way","3280","VIC","Australia",2
"Antonin Britt","M",30,64,1993-08-28,NA,"Manufacturing","Affluent Customer","Yes",8,"011 Northland Trail","2160","NSW","Australia",9
"Vinny Incogna","F",70,73,1953-02-13,NA,"Health","High Net Worth","No",10,"8 Grayhawk Circle","2756","NSW","Australia",8
"Colene Fishleigh","F",38,24,1985-03-14,"Design Engineer","Financial Services","Mass Customer","No",3,"44 Darwin Lane","3149","VIC","Australia",10
"Neile Argent","F",77,79,1946-10-25,NA,"Retail","Mass Customer","No",8,"2548 Arrowood Pass","2024","NSW","Australia",10
"Corinna Suggey","F",57,52,1966-09-18,"Design Engineer",NA,"Affluent Customer","No",9,"938 Ilene Road","2761","NSW","Australia",8
"Brooke Arling","M",62,76,1961-12-05,NA,NA,"High Net Worth","No",6,"6 Melby Center","3027","VIC","Australia",5
"Gipsy Ewestace","F",67,29,1956-08-30,"Business Systems Development Analyst","Retail","High Net Worth","Yes",5,"08708 Moulton Park","2034","NSW","Australia",12
"Sheena Kybbye","F",67,14,1956-07-16,"Paralegal","Financial Services","Affluent Customer","Yes",19,"306 Clemons Junction","4852","QLD","Australia",1
"Jobina Gobourn","F",29,85,1994-12-04,"VP Quality Control",NA,"High Net Worth","Yes",14,"18 Grim Road","4305","QLD","Australia",4
"Gale Disbrow","F",46,59,1977-05-14,"Cost Accountant","Financial Services","Mass Customer","Yes",17,"169 Bashford Drive","3741","VIC","Australia",7
"Thaxter Kingsbury","M",73,12,1950-05-03,"Product Engineer","Argiculture","Mass Customer","No",20,"3 Vermont Lane","2067","NSW","Australia",12
"Taylor Steuhlmeyer","M",24,62,1999-03-22,"Paralegal","Financial Services","Affluent Customer","Yes",5,"64 Mcguire Trail","4017","QLD","Australia",8
"Griswold Kelsall","M",30,55,1993-12-19,"Social Worker","Health","High Net Worth","Yes",11,"74127 Blaine Point","3805","VIC","Australia",7
"Odessa Mc Andrew","F",42,97,1981-12-01,NA,"Property","Mass Customer","No",8,"31756 Meadow Valley Lane","2232","NSW","Australia",10
"Lavena Seekings","F",28,87,1995-03-25,"Payment Adjustment Coordinator","Retail","Mass Customer","No",16,"293 Mayfield Street","3166","VIC","Australia",10
"Martelle Tuppeny","F",42,52,1981-02-03,"Marketing Assistant","Manufacturing","Mass Customer","No",9,"261 Grayhawk Way","2226","NSW","Australia",10
"Briant Ladley","M",44,75,1979-12-17,"Recruiter","Argiculture","Mass Customer","No",12,"2 Schlimgen Terrace","2750","NSW","Australia",8
"Marylou Kirkup","F",51,51,1972-10-31,"VP Product Management",NA,"Mass Customer","No",14,"76733 Sunbrook Terrace","3196","VIC","Australia",9
"Whittaker","M",57,64,1966-07-29,"Media Manager III",NA,"Mass Customer","Yes",8,"683 Florence Way","3156","VIC","Australia",5
"Lorrie Antonelli","M",40,47,1983-02-11,"Cost Accountant","Financial Services","High Net Worth","Yes",17,"06936 Bobwhite Circle","2257","NSW","Australia",7
"Jedediah Kedie","M",52,31,1971-12-29,"Developer I","Argiculture","Mass Customer","Yes",9,"283 Acker Drive","2763","NSW","Australia",9
"Kaine Smallcombe","M",81,59,1942-02-06,"Senior Financial Analyst","Financial Services","High Net Worth","No",11,"9 Mosinee Parkway","2072","NSW","Australia",10
"Loise Iltchev","F",56,70,1967-03-18,"Electrical Engineer","Manufacturing","High Net Worth","Yes",17,"45 Becker Place","4504","QLD","Australia",6
"Cristen Maroney","F",24,22,1999-11-21,"Accountant IV","IT","High Net Worth","Yes",7,"27 Karstens Crossing","4214","QLD","Australia",7
"Dorothy Barnardo","F",40,58,1983-02-01,"Human Resources Manager","Retail","High Net Worth","No",12,"9630 Cottonwood Avenue","2168","NSW","Australia",8
"Rosmunda Duxbarry","F",27,69,1996-07-20,"Executive Secretary","Property","Affluent Customer","Yes",5,"989 Graedel Terrace","4208","QLD","Australia",11
"Rozamond Riha","F",39,54,1984-10-07,"Account Representative I","Manufacturing","Affluent Customer","Yes",16,"76 Bartelt Center","4078","QLD","Australia",7
"Gunner Petti","M",24,62,1999-06-08,"Executive Secretary","Financial Services","High Net Worth","Yes",3,"29778 Mendota Drive","4036","QLD","Australia",5
"Vivienne Crayden","F",35,82,1988-09-18,"Associate Professor",NA,"High Net Worth","Yes",6,"69 Algoma Center","4173","QLD","Australia",7
"Sherilyn Canero","F",27,11,1996-08-03,"Dental Hygienist","Health","High Net Worth","Yes",13,"8288 Lyons Way","2484","NSW","Australia",7
"Bessie Roscow","F",29,78,1994-08-04,"GIS Technical Architect","Financial Services","Mass Customer","No",9,"4185 Florence Trail","2121","NSW","Australia",10
"Kevina Ferandez","F",24,73,1999-09-21,"Assistant Professor","Financial Services","High Net Worth","No",15,"9608 Heffernan Drive","4068","QLD","Australia",9
"Yancy Clementet","M",55,5,1968-02-16,"Mechanical Systems Engineer",NA,"High Net Worth","No",15,"9 Union Center","2147","NSW","Australia",9
"Mabelle Wellbelove","F",65,76,1958-04-21,NA,"Financial Services","Affluent Customer","Yes",19,"800 Emmet Park","2219","NSW","Australia",9
"Hasheem Groucock","M",49,98,1974-09-17,"Budget/Accounting Analyst IV","Manufacturing","High Net Worth","Yes",10,"12351 Spenser Pass","2034","NSW","Australia",12
"Tobias Woodhams","M",62,0,1961-04-15,"Research Nurse","Health","Mass Customer","No",17,"4 Valley Edge Plaza","2759","NSW","Australia",9
"Glennis Flintoff","F",67,36,1956-10-22,"Speech Pathologist","Health","Affluent Customer","Yes",13,"1601 Rutledge Lane","3030","VIC","Australia",7
"Chanda Mensler","F",51,15,1972-01-14,"Computer Systems Analyst IV","Manufacturing","Mass Customer","Yes",13,"0 Mockingbird Plaza","2212","NSW","Australia",10
"Katheryn Kinner","F",50,15,1973-11-28,"Analyst Programmer","Entertainment","High Net Worth","No",6,"1665 Kenwood Center","2518","NSW","Australia",6
"Sumner Carrivick","M",28,53,1995-04-09,"Desktop Support Technician","Manufacturing","Mass Customer","No",15,"5 4th Center","2097","NSW","Australia",12
"Valerie Pickover","F",58,34,1965-09-08,"Editor","Financial Services","Mass Customer","No",9,"92214 Spenser Road","2756","NSW","Australia",8
"Esther Rooson","F",42,14,1981-02-22,NA,"Financial Services","Mass Customer","No",5,"5186 Main Trail","2046","NSW","Australia",9
"Sean O'Loughlin","M",62,48,1961-03-22,"Database Administrator III","Manufacturing","High Net Worth","Yes",16,"83 Old Gate Point","2576","NSW","Australia",10
"Pietra Buckleigh","F",74,9,1949-04-29,"Engineer III",NA,"High Net Worth","No",13,"387 Dixon Alley","2024","NSW","Australia",10
"Marysa Rouchy","F",24,8,1999-02-15,"Assistant Media Planner","Entertainment","Affluent Customer","No",5,"411 Twin Pines Way","2026","NSW","Australia",9
"Kahaleel","M",81,5,1942-11-01,"GIS Technical Architect",NA,"High Net Worth","No",13,"12 Arapahoe Park","2035","NSW","Australia",12
"Ossie Midden","M",73,49,1950-02-10,"Physical Therapy Assistant","Manufacturing","Mass Customer","Yes",14,"4915 Debra Center","2479","NSW","Australia",9
"Sid Carlone","M",52,24,1971-08-18,"Structural Engineer","Health","Affluent Customer","No",16,"76 Sunnyside Avenue","4670","QLD","Australia",2
"Ludovico Juster","M",31,93,1992-04-19,"Environmental Specialist",NA,"Affluent Customer","No",15,"1 Talisman Avenue","2125","NSW","Australia",10
"Andromache Bonafacino","F",46,84,1977-09-01,NA,"Retail","Mass Customer","No",11,"74 Carpenter Street","2015","NSW","Australia",9
"Levy Abramamov","M",71,94,1952-09-21,"Teacher",NA,"Affluent Customer","Yes",14,"6776 Anderson Center","4037","QLD","Australia",8
"Jehu Prestedge","M",24,91,1999-10-20,NA,"Manufacturing","High Net Worth","Yes",8,"88 Annamark Avenue","2138","NSW","Australia",12
"Symon Mawne","M",80,18,1943-02-08,"Human Resources Assistant IV","Property","Mass Customer","Yes",15,"37439 High Crossing Circle","3350","VIC","Australia",4
"Karlik Penchen","M",29,60,1994-10-31,"Nurse Practicioner","Retail","Mass Customer","No",11,"5 Nevada Point","4017","QLD","Australia",6
"Bengt Bilson","M",51,26,1972-11-02,"Structural Engineer","Manufacturing","High Net Worth","No",11,"67 Grayhawk Circle","2232","NSW","Australia",10
"Evangelin Boc","F",23,30,2000-05-09,"Structural Analysis Engineer","Manufacturing","High Net Worth","Yes",14,"0 Meadow Ridge Street","3173","VIC","Australia",8
"Hanny Treven","F",32,84,1991-01-22,"Associate Professor","Retail","Mass Customer","No",3,"5 Quincy Street","4118","QLD","Australia",4
"Gina Mallon","F",29,56,1994-02-11,"Dental Hygienist","Health","Mass Customer","No",12,"13025 Johnson Plaza","4670","QLD","Australia",2
"Reynold Elman","M",83,19,1940-01-18,"Marketing Manager","Manufacturing","Mass Customer","No",9,"966 Sunnyside Center","2390","NSW","Australia",2
"Flossy Concannon","F",43,64,1980-10-20,"Staff Accountant IV","Financial Services","Affluent Customer","No",8,"802 Mallory Park","3919","VIC","Australia",2
"Cristen Wiltshire","F",62,59,1961-10-20,"VP Sales","Financial Services","High Net Worth","Yes",15,"93 Judy Drive","3047","VIC","Australia",6
"Griffith Escot","M",77,50,1946-10-23,"Accountant III","IT","Mass Customer","Yes",16,"94 Manitowish Court","4116","QLD","Australia",3
"Jamie Jiruca","F",60,21,1963-06-16,"Recruiting Manager","Argiculture","Mass Customer","No",18,"5013 Erie Crossing","2230","NSW","Australia",9
"Lyon Brittan","M",51,14,1972-04-23,"Sales Representative","Retail","High Net Worth","No",19,"540 Sachs Road","3153","VIC","Australia",8
"Aridatha Sephton","F",62,95,1961-10-22,"Human Resources Assistant II",NA,"Mass Customer","No",5,"422 Forster Circle","2340","NSW","Australia",1
"Michal Bryan","F",54,1,1969-11-09,NA,"Manufacturing","Mass Customer","Yes",16,"4275 Bluestem Pass","4000","QLD","Australia",8
"Franciska Stigell","F",55,95,1968-11-15,"Food Chemist","Health","Mass Customer","Yes",7,"6 Anderson Junction","3802","VIC","Australia",7
"Jordan Clampe","M",84,37,1939-12-09,"Staff Scientist","Financial Services","Mass Customer","Yes",11,"276 Westend Road","4207","QLD","Australia",5
"David Napoleon","M",62,72,1961-11-05,"Structural Engineer",NA,"High Net Worth","No",14,"69 Garrison Point","2223","NSW","Australia",11
"Meriel Tapp","F",28,0,1995-08-13,"VP Sales","IT","Mass Customer","No",5,"65 Milwaukee Hill","3280","VIC","Australia",2
"Frederik Milan","M",26,45,1997-11-13,NA,"Health","Mass Customer","No",5,"56 Riverside Street","2546","NSW","Australia",5
"Rollo Louedey","M",77,64,1946-07-09,"Information Systems Manager","Telecommunications","Affluent Customer","Yes",17,"7 Cascade Park","2089","NSW","Australia",9
"Jerrine Cosbey","F",45,21,1978-01-11,"Junior Executive","Financial Services","High Net Worth","Yes",6,"29307 Russell Avenue","3094","VIC","Australia",9
"Roddy Rubinshtein","M",36,37,1987-10-08,"Nurse Practicioner","Retail","Mass Customer","Yes",4,"3 Mcguire Crossing","4510","QLD","Australia",7
"Viki Coutts","F",71,2,1952-12-14,"Automation Specialist II","Property","Mass Customer","Yes",7,"6 Golf View Alley","2287","NSW","Australia",4
"Ashby Bispham","M",42,71,1981-10-29,"Software Consultant","Retail","Affluent Customer","No",4,"83716 Russell Lane","2145","NSW","Australia",8
"Alexander Broadbent","M",26,57,1997-05-28,"Desktop Support Technician",NA,"Mass Customer","No",9,"265 Stephen Trail","2209","NSW","Australia",10
"Teddy Lagadu","F",54,86,1969-07-20,"Design Engineer",NA,"High Net Worth","No",6,"2 Charing Cross Trail","2759","NSW","Australia",8
"Peria Rantoull","F",48,3,1975-03-13,"Financial Analyst","Financial Services","Mass Customer","No",4,"8350 Moulton Terrace","4500","QLD","Australia",4
"Ludvig Andren","M",82,44,1941-02-22,"Media Manager III",NA,"High Net Worth","Yes",15,"578 Waywood Circle","4306","QLD","Australia",5
"Elsworth Abbitt","M",67,71,1956-02-08,NA,"Health","Mass Customer","Yes",6,"9722 Northport Way","3500","VIC","Australia",3
"Rebeca Aggas","F",70,66,1953-02-27,"Social Worker","Health","Affluent Customer","No",21,"7026 Katie Lane","3818","VIC","Australia",1
"Ricki Dobrowski","M",48,13,1975-03-10,"Civil Engineer","Manufacturing","Mass Customer","Yes",9,"8 Eggendart Pass","2835","NSW","Australia",1
"Georgetta Lovett","F",83,42,1940-02-02,"Editor","Retail","Mass Customer","No",12,"1 Bluejay Place","4405","QLD","Australia",1
"Bambi Cogger","F",33,51,1990-07-12,"Design Engineer","Retail","Affluent Customer","Yes",5,"28970 Monument Lane","2560","NSW","Australia",7
"Aurie Rhead","F",61,78,1962-07-28,"Geological Engineer","Manufacturing","Affluent Customer","Yes",5,"235 Mendota Court","2650","NSW","Australia",2
"Farris Skettles","M",58,38,1965-07-03,"Payment Adjustment Coordinator",NA,"Mass Customer","Yes",13,"49309 Redwing Lane","3240","VIC","Australia",7
"Sharline Abyss","F",63,11,1960-03-18,NA,NA,"Mass Customer","Yes",15,"367 Bay Point","4011","QLD","Australia",4
"Nowell Preddy","M",38,29,1985-07-23,NA,"Manufacturing","Mass Customer","No",9,"932 Glendale Avenue","2173","NSW","Australia",9
"Lacy Drance","F",45,27,1978-02-05,"Graphic Designer","Manufacturing","Affluent Customer","Yes",14,"492 Waywood Lane","2750","NSW","Australia",8
"Padraig Snel","M",53,89,1970-11-08,"Staff Accountant II",NA,"Mass Customer","No",19,"12683 Mifflin Point","2114","NSW","Australia",7
"Malorie Votier","F",33,90,1990-05-29,"Graphic Designer","Manufacturing","Affluent Customer","No",4,"6160 Weeping Birch Hill","4509","QLD","Australia",5
"Shepperd Ricards","M",56,28,1967-09-27,"Social Worker","Health","Mass Customer","Yes",16,"7 Oakridge Lane","2284","NSW","Australia",4
"Daryl Pauncefort","F",44,12,1979-06-18,"Community Outreach Specialist","Financial Services","Mass Customer","Yes",12,"0 Dexter Parkway","2380","NSW","Australia",3
"Norina Blakeway","F",43,60,1980-02-11,"Programmer Analyst II","Property","Mass Customer","Yes",3,"75813 Lawn Lane","3081","VIC","Australia",8
"My Chaston","M",57,92,1966-07-16,"Desktop Support Technician","Manufacturing","Affluent Customer","Yes",16,"74613 Northport Park","3765","VIC","Australia",9
"Isak Bergstram","M",22,14,2001-03-08,"Pharmacist","Health","Affluent Customer","Yes",15,"68 Karstens Pass","2176","NSW","Australia",9
"Grannie Cracker","M",74,28,1949-03-06,"VP Marketing","Retail","Mass Customer","Yes",20,"87254 Hermina Pass","4217","QLD","Australia",8
"Welby Lourenco","M",48,6,1975-12-27,"Senior Cost Accountant","Financial Services","High Net Worth","Yes",17,"801 Atwood Alley","2138","NSW","Australia",9
"Glenn Casbourne","F",42,4,1981-08-08,"Senior Editor","Manufacturing","Mass Customer","No",6,"2 Morrow Alley","4207","QLD","Australia",1
"Nadiya Balasini","F",73,40,1950-11-05,"Sales Associate","Financial Services","Mass Customer","No",15,"92934 Mallory Trail","2164","NSW","Australia",9
"Tyne Coate","F",58,82,1965-07-15,"Developer II","Manufacturing","Mass Customer","No",17,"90820 Thackeray Street","2218","NSW","Australia",8
"Christie Anders","M",54,38,1969-10-02,"VP Marketing","Retail","Mass Customer","No",16,"48 Ludington Plaza","2153","NSW","Australia",10
"Agnella Capener","F",54,58,1969-05-21,"Teacher","Health","High Net Worth","No",19,"49185 Derek Circle","3977","VIC","Australia",6
"Bernardine Delmonti","F",52,39,1971-03-31,NA,"Property","Mass Customer","No",17,"0721 Meadow Ridge Pass","2540","NSW","Australia",8
"Daisy Spowart","F",56,60,1967-12-18,"Staff Accountant I","Health","Affluent Customer","Yes",4,"115 Westridge Road","4570","QLD","Australia",3
"Denys Minshall","F",62,30,1961-12-26,"Environmental Tech","Manufacturing","Affluent Customer","Yes",14,"7 Myrtle Lane","2324","NSW","Australia",8
"Archibald Blessed","M",54,61,1969-02-10,"VP Sales","Financial Services","Mass Customer","Yes",18,"7795 Memorial Drive","2016","NSW","Australia",11
"Feodor Englishby","M",62,54,1961-08-14,"Account Coordinator","Health","Mass Customer","No",11,"24695 Boyd Road","3201","VIC","Australia",5
"Skippie Yearsley","M",67,6,1956-09-04,"Compensation Analyst","Financial Services","Mass Customer","No",9,"95306 John Wall Avenue","4350","QLD","Australia",5
"Bill","F",60,74,1963-04-24,"Human Resources Assistant II","Property","Mass Customer","Yes",19,"6704 Pine View Lane","2170","NSW","Australia",9
"Roseanne Caruth","F",66,16,1957-05-25,"Programmer Analyst III","Health","Mass Customer","No",7,"33652 Lyons Alley","2763","NSW","Australia",9
"Tedra Goodbanne","F",45,4,1978-01-15,"Senior Quality Engineer",NA,"Mass Customer","Yes",6,"8 Debs Road","3934","VIC","Australia",9
"Roberto Harme","M",72,27,1951-06-11,"Environmental Tech",NA,"High Net Worth","No",10,"101 Starling Pass","2564","NSW","Australia",9
"Nichole Leisman","M",37,37,1986-08-07,"Geologist III","Property","Affluent Customer","No",4,"35151 Bunker Hill Crossing","2068","NSW","Australia",12
"Amil Ennor","F",28,23,1995-08-04,"Health Coach II","Health","Mass Customer","Yes",10,"2093 Amoth Pass","3109","VIC","Australia",11
"Shawna Hinrichsen","F",54,60,1969-08-27,"Assistant Professor","Manufacturing","Affluent Customer","Yes",9,"57343 Eagan Avenue","2326","NSW","Australia",2
"Fonsie Levane","M",72,96,1951-07-10,"Account Representative III",NA,"High Net Worth","Yes",19,"83 Armistice Terrace","4011","QLD","Australia",3
"Emilie Brody","F",44,3,1979-05-22,"Director of Sales",NA,"Mass Customer","Yes",3,"5388 Burrows Alley","2073","NSW","Australia",11
"Robert Corkill","M",47,55,1976-03-12,"Clinical Specialist","Health","Mass Customer","No",4,"5612 Toban Point","2227","NSW","Australia",10
"Elvira Kurten","F",50,65,1973-03-18,"Assistant Professor","Financial Services","High Net Worth","No",12,"65 Ridge Oak Court","2471","NSW","Australia",3
"Juliana Mitchenson","F",34,55,1989-01-05,"Environmental Tech","Manufacturing","Mass Customer","Yes",8,"74 Russell Terrace","4350","QLD","Australia",4
"Regine Bownes","F",71,99,1952-07-01,"Senior Developer","Retail","Affluent Customer","No",15,"255 Loeprich Lane","3752","VIC","Australia",9
"Abner Fraschetti","M",37,33,1986-01-23,"Staff Scientist","Argiculture","Affluent Customer","No",13,"67 Northport Avenue","3805","VIC","Australia",7
"Alvira Coulman","F",68,42,1955-06-05,"Account Representative II",NA,"Affluent Customer","No",14,"823 Wayridge Trail","2205","NSW","Australia",9
"Sawyer Sponton","M",67,36,1956-02-22,"Help Desk Technician","Property","Mass Customer","Yes",10,"5 Golf Terrace","2126","NSW","Australia",11
"Feodor Vickers","M",34,60,1989-11-18,"VP Quality Control","Financial Services","Mass Customer","Yes",4,"40809 Truax Way","2209","NSW","Australia",6
"Paten Cayet","M",28,56,1995-02-19,"Assistant Manager","Manufacturing","Affluent Customer","Yes",16,"1398 Burning Wood Way","3850","VIC","Australia",1
"Loria Tappington","F",68,72,1955-09-06,"Research Assistant IV","Property","Mass Customer","No",5,"3920 Swallow Junction","3038","VIC","Australia",8
"Tanya Kiefer","F",31,54,1992-07-05,"Speech Pathologist","Telecommunications","High Net Worth","No",7,"4 Warner Park","2146","NSW","Australia",9
"Devonne Alderwick","F",84,79,1939-01-29,"Research Associate",NA,"High Net Worth","Yes",9,"534 Lien Lane","3122","VIC","Australia",7
"Omero McDonand","M",71,51,1952-04-01,"Software Consultant","Manufacturing","Mass Customer","No",16,"48 Shoshone Park","2066","NSW","Australia",9
"Iain Haversham","M",73,92,1950-12-26,"Sales Representative","Retail","Mass Customer","Yes",13,"170 Briar Crest Place","2120","NSW","Australia",10
"Keriann Newham","F",48,71,1975-03-26,"Assistant Manager","Financial Services","Mass Customer","No",5,"0193 Northland Street","4179","QLD","Australia",9
"Conroy Rappaport","M",58,39,1965-01-08,"Assistant Manager","Health","High Net Worth","No",9,"5219 Pearson Drive","2148","NSW","Australia",9
"Dorian Rustman","M",49,78,1974-12-09,"Junior Executive","Manufacturing","Mass Customer","No",18,"6156 Summit Center","4352","QLD","Australia",7
"Quillan Guinane","M",77,36,1946-03-24,"Community Outreach Specialist",NA,"High Net Worth","Yes",21,"803 Badeau Point","2177","NSW","Australia",8
"Harlin Mazin","M",49,34,1974-03-25,"Computer Systems Analyst I","Manufacturing","Mass Customer","Yes",13,"735 Westridge Road","2454","NSW","Australia",7
"Eustacia Dornan","F",38,68,1985-09-02,"Account Representative IV","Property","Mass Customer","No",5,"1190 Hanson Street","3806","VIC","Australia",9
"Maury Galego","M",31,65,1992-07-27,"Social Worker","Health","High Net Worth","Yes",3,"370 Division Junction","3032","VIC","Australia",10
"Reggie Kernar","F",52,26,1971-11-28,"Senior Editor","Financial Services","High Net Worth","No",17,"90 Northport Hill","2228","NSW","Australia",10
"Kinna Kollasch","F",37,7,1986-11-09,"Safety Technician I","Property","High Net Worth","No",9,"232 Knutson Park","4060","QLD","Australia",10
"Maurizio Comi","M",27,74,1996-05-30,"VP Product Management","IT","Affluent Customer","No",10,"25805 Eagan Place","2766","NSW","Australia",9
"Elbertina Fendley","F",31,32,1992-03-27,"Physical Therapy Assistant","Property","Affluent Customer","No",8,"743 Debra Court","2117","NSW","Australia",11
"Franklin Wohler","M",85,55,1938-10-16,"Clinical Specialist","Health","Mass Customer","Yes",7,"6966 Delladonna Street","2250","NSW","Australia",8
"Allyson Petchell","F",53,16,1970-03-19,"Human Resources Manager","Telecommunications","High Net Worth","No",10,"98221 Pennsylvania Place","2170","NSW","Australia",8
"Ermentrude Heindle","F",54,47,1969-08-02,"GIS Technical Architect","Argiculture","Mass Customer","No",7,"307 Knutson Center","2226","NSW","Australia",10
"Alanna Lerway","F",79,26,1944-01-05,"Dental Hygienist","Health","Mass Customer","Yes",11,"593 Alpine Drive","3195","VIC","Australia",12
"Vincent Jopke","M",51,6,1972-03-10,"Analog Circuit Design manager","Property","Affluent Customer","No",16,"45788 Stang Plaza","3687","VIC","Australia",3
"Mandie Jeffryes","F",42,60,1981-02-16,"Business Systems Development Analyst",NA,"High Net Worth","No",7,"96515 Di Loreto Pass","4109","QLD","Australia",9
"Collete Dory","F",33,66,1990-01-09,"Information Systems Manager",NA,"High Net Worth","No",2,"8625 Dakota Plaza","2210","NSW","Australia",9
"Leonid Dorricott","M",30,44,1993-11-18,"Environmental Tech",NA,"Affluent Customer","No",3,"02 Hoffman Road","2448","NSW","Australia",3
"Charlena Berney","F",57,55,1966-01-02,"Geological Engineer","Manufacturing","High Net Worth","Yes",12,"496 Logan Center","4207","QLD","Australia",4
"Alfonso Massel","M",83,70,1940-12-05,NA,NA,"Mass Customer","Yes",13,"6065 Talisman Crossing","3977","VIC","Australia",7
