"customer_name","gender","age","customer_id","past_3_years_bike_related_purchases","job_title","job_industry_category","wealth_segment","owns_car","tenure"
"Reinwald Sinkins","M",24,"2741",6,"Statistician II","Property","High Net Worth","No",4
"Sybilla O' Markey","F",24,"3131",63,"Statistician II","Retail","Affluent Customer","Yes",3
"Caryl Linnett","M",24,"875",34,"Recruiting Manager","Financial Services","Mass Customer","Yes",2
"Orlando Gniewosz","M",24,"2704",6,"Account Representative IV","Retail","Affluent Customer","Yes",3
"Anselma Rennie","F",24,"3772",45,"Physical Therapy Assistant","Manufacturing","Mass Customer","Yes",2
"Scottie Swiffen","M",24,"116",49,"Assistant Professor","Manufacturing","Affluent Customer","Yes",2
"Georgie Henze","M",24,"3357",25,"Design Engineer","Manufacturing","Affluent Customer","No",4
"Bjorn Isitt","M",24,"2744",59,"Senior Financial Analyst","Financial Services","Mass Customer","No",3
"Davita Pristnor","F",24,"1724",28,"Assistant Media Planner","Entertainment","High Net Worth","Yes",4
"Loraine Beamish","F",24,"2302",43,"Mechanical Systems Engineer","Retail","Mass Customer","Yes",4
"Cammy Marcroft","M",25,"906",73,"Financial Analyst","Financial Services","High Net Worth","Yes",3
"Lorianna Vidyapin","F",25,"772",12,"Community Outreach Specialist","Entertainment","Mass Customer","No",4
"Marc Waddilove","M",25,"826",92,"Recruiting Manager","Financial Services","Mass Customer","Yes",1
"Robers Richen","M",25,"3494",72,"Account Representative IV","Argiculture","High Net Worth","No",1
"Rodger Gores","M",25,"3674",59,"Tax Accountant","Property","Mass Customer","No",3
"Ganny Alessandrelli","M",25,"2203",13,"Sales Associate","Health","High Net Worth","Yes",2
"Merilyn Dikle","F",25,"1415",68,"Executive Secretary","Property","High Net Worth","Yes",3
"Philippine Maycey","F",25,"2828",37,"Executive Secretary","Health","High Net Worth","Yes",4
"Trisha Basset","F",25,"2201",56,"Design Engineer","Financial Services","Affluent Customer","Yes",1
"Lindsay Acaster","F",25,"704",49,"Research Nurse","Health","Mass Customer","No",4
"Rosabelle Hollington","F",25,"1534",74,"Human Resources Assistant I","Manufacturing","Mass Customer","No",4
"Phelia Perotti","F",25,"774",79,"Operator","Manufacturing","High Net Worth","No",1
"Hiram Kittiman","M",25,"1432",70,"Tax Accountant","Argiculture","High Net Worth","Yes",2
"Laraine Merioth","F",25,"2016",89,"Executive Secretary","Retail","Affluent Customer","Yes",1
"Betsy Schruurs","F",25,"1278",14,"Pharmacist","Health","Affluent Customer","No",2
"Morissa Ozintsev","F",25,"1428",93,"Sales Representative","Retail","High Net Worth","No",1
"Elizabeth Christy","F",25,"3774",38,"Statistician I","Property","High Net Worth","No",2
"Franzen Kielty","M",25,"2147",42,"Engineer IV","Manufacturing","High Net Worth","Yes",1
"Gerome Lawrenz","M",25,"2626",42,"Account Coordinator","Property","Affluent Customer","Yes",4
"Cicily Jenks","F",25,"1334",72,"Senior Financial Analyst","Financial Services","Mass Customer","No",4
"Keven Leahair","M",25,"2875",71,"Financial Analyst","Financial Services","High Net Worth","No",2
"Antonino Hogben","M",25,"1187",65,"Help Desk Technician","Financial Services","Mass Customer","No",1
"Lauretta Furmonger","F",25,"2365",2,"Structural Analysis Engineer","Argiculture","Mass Customer","Yes",3
"Myrta Whibley","F",25,"2427",20,"Senior Developer","Health","High Net Worth","Yes",2
"Jeth Tomes","M",25,"2266",74,"General Manager","Retail","High Net Worth","No",1
"Joachim","M",25,"3095",14,"Staff Accountant IV","Retail","High Net Worth","Yes",2
"Carmelia Klimentyonok","F",25,"3867",14,"Geologist II","IT","Mass Customer","Yes",1
"Kristien Dunne","F",25,"2377",29,"Analog Circuit Design manager","IT","High Net Worth","No",2
"Lavina Clavey","F",25,"1380",99,"Financial Analyst","Financial Services","Mass Customer","No",3
"Cary Cockerham","M",25,"2300",20,"Paralegal","Financial Services","Mass Customer","Yes",3
"Cissy Jeffress","F",25,"3332",43,"Account Representative III","Health","Mass Customer","No",3
"Ford Groucock","M",25,"331",87,"Desktop Support Technician","Health","Mass Customer","Yes",3
"Marcile Carren","F",25,"1384",48,"Quality Control Specialist","Manufacturing","Mass Customer","No",2
"Sabina Tarbin","F",25,"3858",57,"Librarian","Entertainment","Mass Customer","Yes",1
"Hebert Bernocchi","M",25,"945",59,"Human Resources Manager","Health","High Net Worth","Yes",1
"Leonardo Brennon","M",25,"3136",60,"Marketing Manager","Retail","Mass Customer","Yes",3
"Kari Bamlett","F",25,"3716",81,"Associate Professor","Retail","Affluent Customer","No",1
"Sydel Seccombe","F",25,"2224",3,"Budget/Accounting Analyst III","Retail","High Net Worth","Yes",4
"Cordelia","F",25,"2615",23,"Nurse","Financial Services","Mass Customer","Yes",1
"Benoite Trahmel","F",25,"3544",25,"Help Desk Technician","Financial Services","Affluent Customer","No",1
"Mike Geggus","M",25,"2549",12,"Pharmacist","Health","Mass Customer","Yes",4
"Leyla Eddington","F",25,"2044",84,"Quality Engineer","Health","Mass Customer","Yes",1
"Loise Austins","F",25,"1680",5,"Desktop Support Technician","Property","Mass Customer","Yes",4
"Trstram Bondesen","M",25,"370",91,"Media Manager IV","Telecommunications","Affluent Customer","Yes",3
"Malissia Minthorpe","F",25,"3070",74,"Account Executive","Health","Affluent Customer","Yes",1
"Andras Yurocjkin","M",25,"2737",28,"Recruiter","Retail","Mass Customer","Yes",3
"Esma Rycroft","F",25,"1714",80,"Senior Sales Associate","Property","High Net Worth","Yes",4
"Humfrid Ducket","M",25,"1152",47,"Business Systems Development Analyst","Financial Services","Mass Customer","Yes",3
"Caryn Padbury","F",25,"3985",44,"Web Developer IV","Property","Mass Customer","No",4
"Haydon Berkery","M",25,"1459",89,"Senior Sales Associate","Manufacturing","Mass Customer","No",4
"Reggie Mulliner","M",25,"99",97,"VP Accounting","Financial Services","Mass Customer","No",3
"Christie MacClure","F",25,"2292",17,"Research Nurse","Health","Mass Customer","Yes",2
"Flor Agnew","F",25,"3030",68,"Technical Writer","Manufacturing","Affluent Customer","No",3
"Garrek Rowbotham","M",25,"1736",83,"Associate Professor","IT","Affluent Customer","No",4
"Saunder Newens","M",25,"2648",60,"Account Representative I","Property","Affluent Customer","No",1
"Edgar Ordish","M",25,"3216",59,"Database Administrator III","Manufacturing","Mass Customer","Yes",1
"Michal Paiton","M",25,"1142",95,"Desktop Support Technician","Telecommunications","Mass Customer","No",2
"Ericka Eggers","F",25,"1302",29,"Biostatistician I","Financial Services","Affluent Customer","Yes",2
"Cordie Disbrow","F",25,"1496",22,"Human Resources Manager","IT","Affluent Customer","No",3
"Karissa Cabral","F",25,"3433",10,"Computer Systems Analyst II","Property","Mass Customer","No",2
"Angeli O'Hegertie","M",25,"632",67,"General Manager","Health","Mass Customer","No",1
"Vi Lauga","F",25,"1413",47,"Administrative Assistant II","Financial Services","Mass Customer","No",3
"Fawnia Bartrum","F",25,"810",24,"Software Test Engineer IV","Health","Mass Customer","Yes",1
"Phillie Bradforth","F",25,"1196",23,"Research Nurse","Health","Mass Customer","No",2
"Syman Trimnell","M",25,"1963",81,"Biostatistician I","Argiculture","Mass Customer","Yes",4
"Emmy Jenton","F",25,"2714",50,"Occupational Therapist","Health","High Net Worth","Yes",1
"Maryann","F",25,"2101",71,"General Manager","Retail","Mass Customer","Yes",2
"Reynard Hagger","M",25,"3990",99,"Desktop Support Technician","Health","High Net Worth","No",1
"Thedric","M",25,"2189",43,"Safety Technician II","Financial Services","High Net Worth","No",4
"Peg Cliff","F",25,"3281",67,"Administrative Assistant III","Manufacturing","Mass Customer","No",4
"Mella Petrovsky","F",25,"604",72,"Help Desk Operator","IT","Affluent Customer","No",3
"Mariel Dyke","F",25,"1971",49,"Product Engineer","Manufacturing","Mass Customer","Yes",4
"Hermy Casement","M",25,"3663",62,"Information Systems Manager","IT","Affluent Customer","No",1
"Darrelle Michie","F",25,"2988",20,"Administrative Officer","Financial Services","Mass Customer","Yes",1
"Flory Standering","M",25,"2710",77,"Nurse Practicioner","Retail","Mass Customer","No",2
"Clarissa Blaisdale","F",25,"2133",44,"General Manager","Financial Services","High Net Worth","No",3
"Tommie Mardle","M",25,"2161",35,"Assistant Professor","Financial Services","Mass Customer","No",4
"Marijn Arnoll","M",25,"2198",1,"Editor","Property","Affluent Customer","Yes",1
"Denyse Scutts","F",25,"3219",94,"Web Developer III","Financial Services","Mass Customer","No",3
"Cyndia Gull","F",25,"1466",62,"Cost Accountant","Financial Services","High Net Worth","Yes",2
"Adler Dredge","M",26,"3943",19,"VP Accounting","Financial Services","Affluent Customer","No",2
"Brunhilde Kendall","F",26,"2187",52,"Budget/Accounting Analyst I","Health","Mass Customer","No",2
"Artemas Kyncl","M",26,"3917",79,"Chemical Engineer","Manufacturing","Mass Customer","No",4
"Katy Taffee","F",26,"1623",29,"Software Test Engineer III","Entertainment","High Net Worth","Yes",2
"Isabelita Kitchener","F",26,"1865",35,"Office Assistant III","Retail","Mass Customer","No",3
"Lila Eyeington","F",26,"2865",11,"Electrical Engineer","Manufacturing","High Net Worth","No",3
"Dinnie Worsom","F",26,"3050",90,"Professor","Financial Services","High Net Worth","No",5
"Royall Slimings","M",26,"390",83,"Programmer Analyst II","Health","Affluent Customer","No",3
"Patrizius Hardinge","M",26,"887",55,"Project Manager","Manufacturing","High Net Worth","No",1
"Brigham Vyse","M",26,"2298",64,"Environmental Tech","Property","Mass Customer","Yes",5
"Breena Risebrow","F",26,"1156",22,"Marketing Assistant","Argiculture","Mass Customer","Yes",1
"Isobel Lampett","F",26,"1197",44,"Professor","Financial Services","High Net Worth","Yes",5
"Wilfrid Cleaves","M",26,"3502",5,"Senior Sales Associate","Retail","High Net Worth","Yes",3
"Gerek Chape","M",26,"1527",23,"Chemical Engineer","Manufacturing","Mass Customer","No",2
"Zulema Cristofolo","F",26,"3413",93,"VP Accounting","Financial Services","Mass Customer","No",3
"Kerry Ford","F",26,"1753",6,"VP Product Management","Health","High Net Worth","Yes",1
"Haley Dessent","M",26,"3481",37,"Systems Administrator IV","Manufacturing","High Net Worth","No",4
"Codie Arnecke","M",26,"1251",63,"Desktop Support Technician","Property","Mass Customer","No",2
"Mabel Marousek","F",26,"1207",30,"Engineer IV","Health","Mass Customer","No",1
"Ines Galfour","F",26,"3587",85,"Nuclear Power Engineer","Manufacturing","Affluent Customer","No",2
"Lambert Vardey","M",26,"1899",29,"Software Test Engineer I","Retail","Affluent Customer","Yes",4
"Chicky Butterfield","M",26,"3609",69,"Marketing Manager","Manufacturing","Mass Customer","No",4
"Linnea Jeacop","F",26,"2781",4,"VP Sales","Financial Services","Affluent Customer","Yes",5
"Ebony Peagrim","F",26,"3753",16,"Office Assistant II","Manufacturing","Mass Customer","No",3
"Cosette Callar","F",26,"1897",58,"Product Engineer","Manufacturing","Mass Customer","Yes",1
"Sibylla Marlon","F",26,"1335",57,"Associate Professor","Entertainment","Mass Customer","Yes",3
"Dionysus Elmhurst","M",26,"2550",34,"Pharmacist","Health","Mass Customer","Yes",4
"Vikki Tett","F",26,"1549",87,"Structural Engineer","Financial Services","Affluent Customer","Yes",4
"Dannie Hissie","F",26,"183",7,"Geologist III","Retail","Affluent Customer","No",3
"Agneta Swiggs","F",26,"1491",96,"Senior Sales Associate","Health","Mass Customer","Yes",4
"Dur Knappen","M",26,"3198",66,"Media Manager III","Manufacturing","Mass Customer","Yes",1
"Merna McCulloch","F",26,"134",34,"Legal Assistant","Telecommunications","Affluent Customer","Yes",5
"Sydney Georger","M",26,"278",22,"Executive Secretary","Retail","Affluent Customer","Yes",4
"Ario Jeromson","M",26,"1025",69,"Quality Engineer","IT","Mass Customer","Yes",5
"El Toupe","M",26,"677",59,"Senior Cost Accountant","Financial Services","Mass Customer","No",5
"Goddard Benthall","M",26,"2930",46,"Assistant Media Planner","Entertainment","Mass Customer","No",3
"Filippo Ferrara","M",26,"145",33,"Account Executive","Financial Services","Mass Customer","No",4
"Hurlee Fasson","M",26,"3157",46,"Internal Auditor","Retail","Mass Customer","Yes",1
"Raddy Delete","M",26,"130",32,"Chemical Engineer","Manufacturing","Mass Customer","No",1
"Massimo Seymour","M",26,"663",27,"VP Sales","Property","Affluent Customer","Yes",3
"Laina Semorad","F",26,"2167",31,"Librarian","Entertainment","Mass Customer","No",1
"Adrianne Lowerson","F",26,"2386",93,"Compensation Analyst","Financial Services","Mass Customer","No",2
"Larina Gheeorghie","F",26,"3556",38,"Senior Developer","Manufacturing","High Net Worth","No",3
"Deloria","F",26,"2835",30,"Environmental Specialist","Manufacturing","Affluent Customer","No",2
"Dory Barnsdall","F",26,"416",14,"Software Consultant","Property","Mass Customer","Yes",1
"Sigismond Stockow","M",26,"2594",90,"Internal Auditor","Manufacturing","Mass Customer","No",2
"Kendricks Plastow","M",26,"1408",14,"Dental Hygienist","Health","High Net Worth","No",4
"Rica Corrado","F",26,"3868",60,"Social Worker","Health","Affluent Customer","Yes",4
"Meggie Whitchurch","F",26,"965",86,"Structural Engineer","Retail","High Net Worth","Yes",5
"Roslyn Rawdall","F",26,"2074",90,"Recruiting Manager","Financial Services","Mass Customer","No",4
"Quincy Weben","M",26,"2388",84,"Cost Accountant","Financial Services","Mass Customer","No",1
"Ira Lamlin","F",26,"796",8,"Financial Analyst","Financial Services","Mass Customer","No",2
"Amalee Choak","F",26,"253",82,"Food Chemist","Health","Mass Customer","Yes",1
"Rora Warre","F",26,"3186",22,"Recruiter","IT","Mass Customer","Yes",2
"Curran Gush","M",26,"1349",83,"Electrical Engineer","Manufacturing","Affluent Customer","No",1
"Ethyl Runham","F",26,"103",49,"Product Engineer","Financial Services","Affluent Customer","Yes",4
"Chan Kirckman","M",26,"665",82,"Human Resources Assistant I","Manufacturing","Mass Customer","No",5
"Emanuel Baukham","M",26,"1535",80,"Cost Accountant","Financial Services","Affluent Customer","Yes",3
"Emlyn Maile","M",26,"3082",68,"Information Systems Manager","Manufacturing","Mass Customer","Yes",2
"Etta Leele","F",26,"3811",60,"Senior Developer","Financial Services","High Net Worth","No",4
"Maxwell Blabber","M",26,"3111",42,"Associate Professor","Financial Services","Mass Customer","Yes",4
"Dita Darlison","F",26,"2777",0,"Safety Technician III","Health","Mass Customer","Yes",1
"Forbes Londors","M",26,"1029",71,"VP Sales","Property","Mass Customer","No",4
"Aldous Cubin","M",26,"320",19,"Registered Nurse","Health","Mass Customer","No",4
"Irving Murton","M",26,"1295",66,"Nurse","Argiculture","Mass Customer","Yes",5
"Althea Macvey","F",26,"1410",10,"Marketing Manager","Retail","High Net Worth","Yes",6
"Yank Scarlett","M",26,"2948",23,"Internal Auditor","Manufacturing","Mass Customer","Yes",2
"Sholom Pavlasek","M",26,"3537",1,"Graphic Designer","Financial Services","Mass Customer","No",4
"Garvin Cunradi","M",26,"2995",60,"Programmer IV","Health","Mass Customer","Yes",2
"Richard Poor","M",26,"2447",55,"Tax Accountant","Financial Services","Affluent Customer","Yes",2
"Lurleen Shoebridge","F",26,"2738",77,"Research Nurse","Health","Mass Customer","No",5
"Gayle Cockerell","M",26,"2086",68,"Senior Cost Accountant","Financial Services","High Net Worth","No",1
"Clare Attoe","M",26,"2120",80,"Web Designer III","Manufacturing","Mass Customer","No",1
"Ebba Hanselmann","F",26,"173",99,"General Manager","Health","Affluent Customer","No",1
"Tim Guilliatt","M",27,"2163",41,"VP Product Management","Financial Services","Mass Customer","Yes",6
"Giusto Torbett","M",27,"427",77,"Assistant Media Planner","Entertainment","Mass Customer","Yes",2
"Norma Batrim","F",27,"787",29,"Research Assistant IV","Retail","Affluent Customer","Yes",2
