"customer_name","gender","past_3_years_bike_related_purchases","job_industry_category","wealth_segment","owns_car","tenure","street_number","street_name","postcode","state","country","property_valuation","lat","lon","age_group","job_type","Median salary or wages"
"Rourke Gillbard","M",11,"Property","Mass Customer","No",17,"75","Cordelia Trail",4817,"QLD","Australia",4,-19.3128572,146.7435353,"65+","Managerial",52028
"Dyane Burwell","F",19,"Retail","Mass Customer","Yes",7,"51","Hooker Court",2640,"NSW","Australia",2,-36.0851089216229,146.920094129877,"65+","Technical",47406
"Claudine Barstowk","F",71,"Property","High Net Worth","Yes",5,"1859","Forest Circle",4000,"QLD","Australia",11,-27.461692652439,153.021714281558,"55-64","Healthcare",35929
"Blinnie Roze","F",84,"Entertainment","High Net Worth","No",11,"44557","Rutledge Court",4171,"QLD","Australia",7,-27.4558730336941,153.061180881731,"55-64","Other",64378
"Rhona De Freyne","F",45,"Health","High Net Worth","No",8,"11184","East Drive",3056,"VIC","Australia",10,-37.7683588895939,144.959634256961,"55-64","Technical",50072
"Sharron Claibourn","F",62,"Financial Services","High Net Worth","Yes",17,"555","Hermina Avenue",2280,"NSW","Australia",8,-33.0243177092593,151.659302936277,"35-44","Other",48399
"Brien Heaton","M",70,"Health","Mass Customer","Yes",12,"8","Novick Trail",2470,"NSW","Australia",2,-28.8432360670213,152.985959790751,"65+","Technical",42102
"Sybilla MacCart","F",88,"Financial Services","Mass Customer","Yes",7,"74","Welch Pass",2620,"NSW","Australia",7,-35.5951781,149.2095943938,"35-44","Other",59378
"Mikel McNess","M",71,"IT","Mass Customer","No",9,"3","Pleasure Drive",4122,"QLD","Australia",9,-27.5428297870176,153.090436598411,"35-44","Healthcare",50528
"Arleen Casbolt","F",48,"Financial Services","Affluent Customer","Yes",13,"41042","Lotheville Crossing",4817,"QLD","Australia",1,-19.3128572,146.7435353,"45-54","Technical",52028
"Farlie Petford","M",76,"Property","High Net Worth","No",13,"2330","Butternut Trail",2017,"NSW","Australia",10,-33.9054628051749,151.206478836204,"55-64","Managerial",60493
"Mitchell MacCague","M",58,"Manufacturing","Mass Customer","No",15,"240","Acker Avenue",3190,"VIC","Australia",8,-37.9531330299204,145.037148480753,"35-44","Other",56274
"Garik Whitwell","M",44,"Property","Mass Customer","Yes",13,"4","Dexter Way",3280,"VIC","Australia",2,-38.3800179961923,142.518440667843,"65+","Administrative",42149
"Antonin Britt","M",64,"Manufacturing","Affluent Customer","Yes",8,"11","Northland Trail",2160,"NSW","Australia",9,-33.8323377604938,150.979639719442,"25-34","Technical",44811
"Vinny Incogna","F",73,"Health","High Net Worth","No",10,"8","Grayhawk Circle",2756,"NSW","Australia",8,-33.5693960169725,150.820019754339,"65+","Other",51597
"Colene Fishleigh","F",24,"Financial Services","Mass Customer","No",3,"44","Darwin Lane",3149,"VIC","Australia",10,-37.8829279917409,145.136752005058,"35-44","Technical",50122
"Neile Argent","F",79,"Retail","Mass Customer","No",8,"2548","Arrowood Pass",2024,"NSW","Australia",10,-33.9027140636364,151.258168408677,"65+","Administrative",65714
"Corinna Suggey","F",52,"Health","Affluent Customer","No",9,"938","Ilene Road",2761,"NSW","Australia",8,-33.7264995207921,150.850872287758,"55-64","Technical",52430
"Brooke Arling","M",76,"Health","High Net Worth","No",6,"6","Melby Center",3027,"VIC","Australia",5,-37.8553629423423,144.736118913262,"55-64","Technical",55210
"Gipsy Ewestace","F",29,"Retail","High Net Worth","Yes",5,"8708","Moulton Park",2034,"NSW","Australia",12,-33.9066714598765,151.259946134591,"65+","Technical",64979
"Sheena Kybbye","F",14,"Financial Services","Affluent Customer","Yes",19,"306","Clemons Junction",4852,"QLD","Australia",1,-17.867864125,146.103046,"65+","Other",39194
"Jobina Gobourn","F",85,"Property","High Net Worth","Yes",14,"18","Grim Road",4305,"QLD","Australia",4,-27.6149785314002,152.753023296701,"25-34","Managerial",49540
"Gale Disbrow","F",59,"Financial Services","Mass Customer","Yes",17,"169","Bashford Drive",3741,"VIC","Australia",7,-36.8024451833333,147.012824299256,"45-54","Quantitative",37060
"Thaxter Kingsbury","M",12,"Argiculture","Mass Customer","No",20,"3","Vermont Lane",2067,"NSW","Australia",12,-33.7964236264564,151.179541043192,"65+","Technical",53729
"Taylor Steuhlmeyer","M",62,"Financial Services","Affluent Customer","Yes",5,"64","Mcguire Trail",4017,"QLD","Australia",8,-27.316013246057,153.048558541819,"18-24","Other",53055
"Griswold Kelsall","M",55,"Health","High Net Worth","Yes",11,"74127","Blaine Point",3805,"VIC","Australia",7,-38.0088106818203,145.30570128213,"25-34","Other",48080
"Odessa Mc Andrew","F",97,"Property","Mass Customer","No",8,"31756","Meadow Valley Lane",2232,"NSW","Australia",10,-34.0297099230114,151.060846702591,"35-44","Administrative",58410
"Lavena Seekings","F",87,"Retail","Mass Customer","No",16,"293","Mayfield Street",3166,"VIC","Australia",10,-37.9073283524229,145.101256192327,"25-34","Administrative",50718
"Martelle Tuppeny","F",52,"Manufacturing","Mass Customer","No",9,"261","Grayhawk Way",2226,"NSW","Australia",10,-34.0129303759705,151.060465806761,"35-44","Administrative",59000
"Briant Ladley","M",75,"Argiculture","Mass Customer","No",12,"2","Schlimgen Terrace",2750,"NSW","Australia",8,-33.7549817482385,150.678150439569,"35-44","Administrative",53466
"Marylou Kirkup","F",51,"Retail","Mass Customer","No",14,"76733","Sunbrook Terrace",3196,"VIC","Australia",9,-38.0381207411622,145.114420620845,"45-54","Managerial",54085
"Whittaker","M",64,"IT","Mass Customer","Yes",8,"683","Florence Way",3156,"VIC","Australia",5,-37.888409615614,145.267458743136,"55-64","Managerial",49048
"Lorrie Antonelli","M",47,"Financial Services","High Net Worth","Yes",17,"6936","Bobwhite Circle",2257,"NSW","Australia",7,-33.5108809817708,151.311444560459,"35-44","Quantitative",45633
"Jedediah Kedie","M",31,"Argiculture","Mass Customer","Yes",9,"283","Acker Drive",2763,"NSW","Australia",9,-33.7286524113636,150.898138975756,"45-54","Technical",55336
"Kaine Smallcombe","M",59,"Financial Services","High Net Worth","No",11,"9","Mosinee Parkway",2072,"NSW","Australia",10,-33.75409981,151.153230549978,"65+","Technical",56151
"Loise Iltchev","F",70,"Manufacturing","High Net Worth","Yes",17,"45","Becker Place",4504,"QLD","Australia",6,-27.2046779557756,152.968318192011,"55-64","Technical",52246
"Cristen Maroney","F",22,"IT","High Net Worth","Yes",7,"27","Karstens Crossing",4214,"QLD","Australia",7,-27.9695690154362,153.369461589082,"18-24","Quantitative",44940
"Dorothy Barnardo","F",58,"Retail","High Net Worth","No",12,"9630","Cottonwood Avenue",2168,"NSW","Australia",8,-33.9135284625,150.877696297317,"35-44","Managerial",46604
"Rosmunda Duxbarry","F",69,"Property","Affluent Customer","Yes",5,"989","Graedel Terrace",4208,"QLD","Australia",11,-27.7784524369792,153.256033487333,"25-34","Administrative",52090
"Rozamond Riha","F",54,"Manufacturing","Affluent Customer","Yes",16,"76","Bartelt Center",4078,"QLD","Australia",7,-27.6198095526686,152.961094835904,"35-44","Administrative",51626
"Gunner Petti","M",62,"Financial Services","High Net Worth","Yes",3,"29778","Mendota Drive",4036,"QLD","Australia",5,-27.3203164435606,153.010340557484,"18-24","Administrative",51373
"Vivienne Crayden","F",82,"Financial Services","High Net Worth","Yes",6,"69","Algoma Center",4173,"QLD","Australia",7,-27.4753435033083,153.131824419483,"35-44","Other",54121
"Sherilyn Canero","F",11,"Health","High Net Worth","Yes",13,"8288","Lyons Way",2484,"NSW","Australia",7,-28.3497036439516,153.373785970948,"25-34","Other",40934
"Bessie Roscow","F",78,"Financial Services","Mass Customer","No",9,"4185","Florence Trail",2121,"NSW","Australia",10,-33.7710730982759,151.079969860376,"25-34","Technical",54992
"Kevina Ferandez","F",73,"Financial Services","High Net Worth","No",15,"9608","Heffernan Drive",4068,"QLD","Australia",9,-27.5011992097897,152.976311440048,"18-24","Administrative",50172
"Yancy Clementet","M",5,"Manufacturing","High Net Worth","No",15,"9","Union Center",2147,"NSW","Australia",9,-33.7642819068182,150.93531962252,"55-64","Technical",52880
"Mabelle Wellbelove","F",76,"Financial Services","Affluent Customer","Yes",19,"800","Emmet Park",2219,"NSW","Australia",9,-33.9956343769231,151.139989165442,"65+","Managerial",55397
"Hasheem Groucock","M",98,"Manufacturing","High Net Worth","Yes",10,"12351","Spenser Pass",2034,"NSW","Australia",12,-33.9066714598765,151.259946134591,"45-54","Technical",64979
"Tobias Woodhams","M",0,"Health","Mass Customer","No",17,"4","Valley Edge Plaza",2759,"NSW","Australia",9,-33.7992847606085,150.79264970355,"55-64","Healthcare",53438
"Glennis Flintoff","F",36,"Health","Affluent Customer","Yes",13,"1601","Rutledge Lane",3030,"VIC","Australia",7,-37.8932562855869,144.703941958861,"65+","Healthcare",52900
"Chanda Mensler","F",15,"Manufacturing","Mass Customer","Yes",13,"0","Mockingbird Plaza",2212,"NSW","Australia",10,-33.94952798,151.014887240006,"45-54","Technical",51637
"Katheryn Kinner","F",15,"Entertainment","High Net Worth","No",6,"1665","Kenwood Center",2518,"NSW","Australia",6,-34.3788382768851,150.904914289718,"45-54","Technical",49773
"Sumner Carrivick","M",53,"Manufacturing","Mass Customer","No",15,"5","4th Center",2097,"NSW","Australia",12,-33.7338013187423,151.294677231279,"25-34","Technical",54292
"Valerie Pickover","F",34,"Financial Services","Mass Customer","No",9,"92214","Spenser Road",2756,"NSW","Australia",8,-33.5693960169725,150.820019754339,"55-64","Other",51597
"Esther Rooson","F",14,"Financial Services","Mass Customer","No",5,"5186","Main Trail",2046,"NSW","Australia",9,-33.8642599909091,151.127724375401,"35-44","Quantitative",64658
"Sean O'Loughlin","M",48,"Manufacturing","High Net Worth","Yes",16,"83","Old Gate Point",2576,"NSW","Australia",10,-34.4766673545957,150.435502341432,"55-64","Technical",45998
"Pietra Buckleigh","F",9,"Retail","High Net Worth","No",13,"387","Dixon Alley",2024,"NSW","Australia",10,-33.9027140636364,151.258168408677,"65+","Technical",65714
"Marysa Rouchy","F",8,"Entertainment","Affluent Customer","No",5,"411","Twin Pines Way",2026,"NSW","Australia",9,-33.890394873125,151.268282356468,"18-24","Administrative",60000
"Kahaleel","M",5,"Health","High Net Worth","No",13,"12","Arapahoe Park",2035,"NSW","Australia",12,-33.9416932640056,151.237771392207,"65+","Technical",56401
"Ossie Midden","M",49,"Manufacturing","Mass Customer","Yes",14,"4915","Debra Center",2479,"NSW","Australia",9,-28.7091043571891,153.498102466017,"65+","Administrative",39274
"Sid Carlone","M",24,"Health","Affluent Customer","No",16,"76","Sunnyside Avenue",4670,"QLD","Australia",2,-24.8848942022738,152.427910754162,"45-54","Technical",42581
"Ludovico Juster","M",93,"Financial Services","Affluent Customer","No",15,"1","Talisman Avenue",2125,"NSW","Australia",10,-33.7554589357143,151.037747338288,"25-34","Technical",57788
"Andromache Bonafacino","F",84,"Retail","Mass Customer","No",11,"74","Carpenter Street",2015,"NSW","Australia",9,-33.9096310401534,151.199682722047,"45-54","Technical",69480
"Levy Abramamov","M",94,"Manufacturing","Affluent Customer","Yes",14,"6776","Anderson Center",4037,"QLD","Australia",8,-27.3363895,152.960335115124,"65+","Other",57215
"Jehu Prestedge","M",91,"Manufacturing","High Net Worth","Yes",8,"88","Annamark Avenue",2138,"NSW","Australia",12,-33.8379830157895,151.087897692914,"18-24","Technical",53564
"Symon Mawne","M",18,"Property","Mass Customer","Yes",15,"37439","High Crossing Circle",3350,"VIC","Australia",4,-37.5514123740556,143.830720560314,"65+","Administrative",46172
"Karlik Penchen","M",60,"Retail","Mass Customer","No",11,"5","Nevada Point",4017,"QLD","Australia",6,-27.316013246057,153.048558541819,"25-34","Healthcare",53055
"Bengt Bilson","M",26,"Manufacturing","High Net Worth","No",11,"67","Grayhawk Circle",2232,"NSW","Australia",10,-34.0297099230114,151.060846702591,"45-54","Technical",58410
"Evangelin Boc","F",30,"Manufacturing","High Net Worth","Yes",14,"0","Meadow Ridge Street",3173,"VIC","Australia",8,-37.9891011783641,145.174524692491,"18-24","Technical",47704
"Hanny Treven","F",84,"Retail","Mass Customer","No",3,"5","Quincy Street",4118,"QLD","Australia",4,-27.6623639442857,153.018341358523,"25-34","Other",48945
"Gina Mallon","F",56,"Health","Mass Customer","No",12,"13025","Johnson Plaza",4670,"QLD","Australia",2,-24.8848942022738,152.427910754162,"25-34","Other",42581
"Reynold Elman","M",19,"Manufacturing","Mass Customer","No",9,"966","Sunnyside Center",2390,"NSW","Australia",2,-30.2740999521428,149.752790141922,"65+","Managerial",46752
"Flossy Concannon","F",64,"Financial Services","Affluent Customer","No",8,"802","Mallory Park",3919,"VIC","Australia",2,-38.3718911142857,145.218618801933,"35-44","Quantitative",45441
"Cristen Wiltshire","F",59,"Financial Services","High Net Worth","Yes",15,"93","Judy Drive",3047,"VIC","Australia",6,-37.6820204342416,144.926776553475,"55-64","Managerial",38897
"Griffith Escot","M",50,"IT","Mass Customer","Yes",16,"94","Manitowish Court",4116,"QLD","Australia",3,-27.626488636939,153.052149144106,"65+","Quantitative",46439
"Jamie Jiruca","F",21,"Argiculture","Mass Customer","No",18,"5013","Erie Crossing",2230,"NSW","Australia",9,-34.0610239921569,151.148743303068,"55-64","Managerial",58047
"Lyon Brittan","M",14,"Retail","High Net Worth","No",19,"540","Sachs Road",3153,"VIC","Australia",8,-37.8376997934524,145.266395778708,"45-54","Administrative",48998
"Aridatha Sephton","F",95,"Argiculture","Mass Customer","No",5,"422","Forster Circle",2340,"NSW","Australia",1,-31.1317849526171,150.931990112746,"55-64","Administrative",46447
"Michal Bryan","F",1,"Manufacturing","Mass Customer","Yes",16,"4275","Bluestem Pass",4000,"QLD","Australia",8,-27.461692652439,153.021714281558,"45-54","Administrative",35929
"Franciska Stigell","F",95,"Health","Mass Customer","Yes",7,"6","Anderson Junction",3802,"VIC","Australia",7,-37.9762115054622,145.247214695196,"55-64","Healthcare",47440
"Jordan Clampe","M",37,"Financial Services","Mass Customer","Yes",11,"276","Westend Road",4207,"QLD","Australia",5,-27.7299240994603,153.191237398608,"65+","Quantitative",47124
"David Napoleon","M",72,"Manufacturing","High Net Worth","No",14,"69","Garrison Point",2223,"NSW","Australia",11,-33.9747824461539,151.07431603984,"55-64","Technical",56132
"Meriel Tapp","F",0,"IT","Mass Customer","No",5,"65","Milwaukee Hill",3280,"VIC","Australia",2,-38.3800179961923,142.518440667843,"25-34","Managerial",42149
"Frederik Milan","M",45,"Health","Mass Customer","No",5,"56","Riverside Street",2546,"NSW","Australia",5,-36.2589551359391,150.087856652334,"25-34","Technical",35034
"Rollo Louedey","M",64,"Telecommunications","Affluent Customer","Yes",17,"7","Cascade Park",2089,"NSW","Australia",9,-34.148683082405,150.898188888902,"65+","Managerial",71775
"Jerrine Cosbey","F",21,"Financial Services","High Net Worth","Yes",6,"29307","Russell Avenue",3094,"VIC","Australia",9,-37.7190599742759,145.124990952366,"45-54","Other",53738
"Roddy Rubinshtein","M",37,"Retail","Mass Customer","Yes",4,"3","Mcguire Crossing",4510,"QLD","Australia",7,-27.0792961882794,152.98168858818,"35-44","Healthcare",43188
"Viki Coutts","F",2,"Property","Mass Customer","Yes",7,"6","Golf View Alley",2287,"NSW","Australia",4,-32.8938571483333,151.659698994653,"65+","Technical",49740
"Ashby Bispham","M",71,"Retail","Affluent Customer","No",4,"83716","Russell Lane",2145,"NSW","Australia",8,-33.8133842931533,150.955551059031,"35-44","Other",53591
"Alexander Broadbent","M",57,"Financial Services","Mass Customer","No",9,"265","Stephen Trail",2209,"NSW","Australia",10,-33.9474622844594,151.067276854035,"25-34","Technical",48238
"Teddy Lagadu","F",86,"Financial Services","High Net Worth","No",6,"2","Charing Cross Trail",2759,"NSW","Australia",8,-33.7992847606085,150.79264970355,"45-54","Technical",53438
"Peria Rantoull","F",3,"Financial Services","Mass Customer","No",4,"8350","Moulton Terrace",4500,"QLD","Australia",4,-27.3137627571681,152.981263107015,"45-54","Technical",51356
"Ludvig Andren","M",44,"Entertainment","High Net Worth","Yes",15,"578","Waywood Circle",4306,"QLD","Australia",5,-27.5407665098457,152.809663510874,"65+","Managerial",54182
"Elsworth Abbitt","M",71,"Health","Mass Customer","Yes",6,"9722","Northport Way",3500,"VIC","Australia",3,-34.1907804168675,142.153340423591,"65+","Administrative",42086
"Rebeca Aggas","F",66,"Health","Affluent Customer","No",21,"7026","Katie Lane",3818,"VIC","Australia",1,-38.1377758071429,145.858582968361,"65+","Other",43959
"Ricki Dobrowski","M",13,"Manufacturing","Mass Customer","Yes",9,"8","Eggendart Pass",2835,"NSW","Australia",1,-31.5734601482759,145.512739489025,"45-54","Technical",61705
"Georgetta Lovett","F",42,"Retail","Mass Customer","No",12,"1","Bluejay Place",4405,"QLD","Australia",1,-27.1802990708333,151.256162172254,"65+","Other",47865
"Bambi Cogger","F",51,"Retail","Affluent Customer","Yes",5,"28970","Monument Lane",2560,"NSW","Australia",7,-34.0862672238874,150.809804183538,"25-34","Technical",50249
"Aurie Rhead","F",78,"Manufacturing","Affluent Customer","Yes",5,"235","Mendota Court",2650,"NSW","Australia",2,-35.1303987188179,147.287771357235,"55-64","Technical",48139
"Farris Skettles","M",38,"IT","Mass Customer","Yes",13,"49309","Redwing Lane",3240,"VIC","Australia",7,-38.2702572928571,144.146918998206,"55-64","Administrative",43152
"Sharline Abyss","F",11,"Manufacturing","Mass Customer","Yes",15,"367","Bay Point",4011,"QLD","Australia",4,-27.4196536239902,153.060396358991,"55-64","Administrative",56475
"Nowell Preddy","M",29,"Manufacturing","Mass Customer","No",9,"932","Glendale Avenue",2173,"NSW","Australia",9,-33.9751138583333,150.944667635298,"35-44","Administrative",58814
"Lacy Drance","F",27,"Manufacturing","Affluent Customer","Yes",14,"492","Waywood Lane",2750,"NSW","Australia",8,-33.7549817482385,150.678150439569,"45-54","Other",53466
"Padraig Snel","M",89,"Retail","Mass Customer","No",19,"12683","Mifflin Point",2114,"NSW","Australia",7,-33.8147045123188,151.088991853473,"45-54","Quantitative",55156
"Malorie Votier","F",90,"Manufacturing","Affluent Customer","No",4,"6160","Weeping Birch Hill",4509,"QLD","Australia",5,-27.2142446550058,153.025277069909,"25-34","Other",53595
"Shepperd Ricards","M",28,"Health","Mass Customer","Yes",16,"7","Oakridge Lane",2284,"NSW","Australia",4,-32.9616206368421,151.616332566433,"55-64","Other",48242
"Daryl Pauncefort","F",12,"Financial Services","Mass Customer","Yes",12,"0","Dexter Parkway",2380,"NSW","Australia",3,-32.053181855,149.058700248913,"35-44","Technical",48762
"Norina Blakeway","F",60,"Property","Mass Customer","Yes",3,"75813","Lawn Lane",3081,"VIC","Australia",8,-37.73586718875,145.049634753248,"35-44","Technical",47415
"My Chaston","M",92,"Manufacturing","Affluent Customer","Yes",16,"74613","Northport Park",3765,"VIC","Australia",9,-37.812676625,145.33490318604,"55-64","Technical",49926
"Isak Bergstram","M",14,"Health","Affluent Customer","Yes",15,"68","Karstens Pass",2176,"NSW","Australia",9,-33.8727681204545,150.892585208625,"18-24","Healthcare",48326
"Grannie Cracker","M",28,"Retail","Mass Customer","Yes",20,"87254","Hermina Pass",4217,"QLD","Australia",8,-28.0032955533294,153.413825747227,"65+","Managerial",38906
"Welby Lourenco","M",6,"Financial Services","High Net Worth","Yes",17,"801","Atwood Alley",2138,"NSW","Australia",9,-33.8379830157895,151.087897692914,"45-54","Quantitative",53564
"Glenn Casbourne","F",4,"Manufacturing","Mass Customer","No",6,"2","Morrow Alley",4207,"QLD","Australia",1,-27.7299240994603,153.191237398608,"35-44","Other",47124
"Nadiya Balasini","F",40,"Financial Services","Mass Customer","No",15,"92934","Mallory Trail",2164,"NSW","Australia",9,-33.8468029571429,150.911804400444,"65+","Other",47608
"Tyne Coate","F",82,"Manufacturing","Mass Customer","No",17,"90820","Thackeray Street",2218,"NSW","Australia",8,-33.9679223269231,151.120587896078,"55-64","Technical",47441
"Christie Anders","M",38,"Retail","Mass Customer","No",16,"48","Ludington Plaza",2153,"NSW","Australia",10,-33.7534401900469,150.998019385312,"45-54","Managerial",59130
"Agnella Capener","F",58,"Health","High Net Worth","No",19,"49185","Derek Circle",3977,"VIC","Australia",6,-38.0955446155503,145.266612213336,"45-54","Other",49058
"Bernardine Delmonti","F",39,"Property","Mass Customer","No",17,"721","Meadow Ridge Pass",2540,"NSW","Australia",8,-34.990110640625,150.606481117505,"45-54","Technical",42711
"Daisy Spowart","F",60,"Health","Affluent Customer","Yes",4,"115","Westridge Road",4570,"QLD","Australia",3,-26.1322022261905,152.340541166673,"55-64","Quantitative",41678
"Denys Minshall","F",30,"Manufacturing","Affluent Customer","Yes",14,"7","Myrtle Lane",2324,"NSW","Australia",8,-32.7319085934959,151.838937619334,"55-64","Other",45802
"Archibald Blessed","M",61,"Financial Services","Mass Customer","Yes",18,"7795","Memorial Drive",2016,"NSW","Australia",11,-33.8931694811881,151.203514776826,"45-54","Managerial",60680
"Feodor Englishby","M",54,"Health","Mass Customer","No",11,"24695","Boyd Road",3201,"VIC","Australia",5,-38.097174385,145.180062152295,"55-64","Administrative",49007
"Skippie Yearsley","M",6,"Financial Services","Mass Customer","No",9,"95306","John Wall Avenue",4350,"QLD","Australia",5,-27.5667387088414,151.936658063843,"65+","Technical",47616
"Bill","F",74,"Property","Mass Customer","Yes",19,"6704","Pine View Lane",2170,"NSW","Australia",9,-33.9264704636,150.912612024628,"55-64","Administrative",49851
"Roseanne Caruth","F",16,"Health","Mass Customer","No",7,"33652","Lyons Alley",2763,"NSW","Australia",9,-33.7286524113636,150.898138975756,"65+","Technical",55336
"Tedra Goodbanne","F",4,"Property","Mass Customer","Yes",6,"8","Debs Road",3934,"VIC","Australia",9,-38.2608064527778,145.039308800736,"45-54","Technical",48444
"Roberto Harme","M",27,"Financial Services","High Net Worth","No",10,"101","Starling Pass",2564,"NSW","Australia",9,-34.0057290508475,150.892500053854,"65+","Other",47677
"Nichole Leisman","M",37,"Property","Affluent Customer","No",4,"35151","Bunker Hill Crossing",2068,"NSW","Australia",12,-33.79891372,151.201169683081,"35-44","Other",66413
"Amil Ennor","F",23,"Health","Mass Customer","Yes",10,"2093","Amoth Pass",3109,"VIC","Australia",11,-37.7803252147773,145.165197322728,"25-34","Healthcare",48000
"Shawna Hinrichsen","F",60,"Manufacturing","Affluent Customer","Yes",9,"57343","Eagan Avenue",2326,"NSW","Australia",2,-32.80204927,151.450005375474,"45-54","Administrative",46830
"Fonsie Levane","M",96,"Manufacturing","High Net Worth","Yes",19,"83","Armistice Terrace",4011,"QLD","Australia",3,-27.4196536239902,153.060396358991,"65+","Administrative",56475
"Emilie Brody","F",3,"Financial Services","Mass Customer","Yes",3,"5388","Burrows Alley",2073,"NSW","Australia",11,-33.7477267029412,151.13706493915,"35-44","Managerial",62724
"Robert Corkill","M",55,"Health","Mass Customer","No",4,"5612","Toban Point",2227,"NSW","Australia",10,-34.0398276692308,151.086412825937,"45-54","Technical",57990
"Elvira Kurten","F",65,"Financial Services","High Net Worth","No",12,"65","Ridge Oak Court",2471,"NSW","Australia",3,-29.0049240433333,153.250944952385,"45-54","Administrative",40448
"Juliana Mitchenson","F",55,"Manufacturing","Mass Customer","Yes",8,"74","Russell Terrace",4350,"QLD","Australia",4,-27.5667387088414,151.936658063843,"25-34","Other",47616
"Regine Bownes","F",99,"Retail","Affluent Customer","No",15,"255","Loeprich Lane",3752,"VIC","Australia",9,-37.6216602039324,145.070314484389,"65+","Technical",50958
"Abner Fraschetti","M",33,"Argiculture","Affluent Customer","No",13,"67","Northport Avenue",3805,"VIC","Australia",7,-38.0088106818203,145.30570128213,"35-44","Quantitative",48080
"Alvira Coulman","F",42,"Health","Affluent Customer","No",14,"823","Wayridge Trail",2205,"NSW","Australia",9,-33.931405620134,151.142891775701,"65+","Administrative",48500
"Sawyer Sponton","M",36,"Property","Mass Customer","Yes",10,"5","Golf Terrace",2126,"NSW","Australia",11,-33.724037725,151.041793144464,"65+","Technical",58535
