"customer_name","gender","customer_id","past_3_years_bike_related_purchases","job_industry_category","wealth_segment","owns_car","tenure","street_number","street_name","postcode","state","country","property_valuation","Target","lat","lon","age_group","job_type","Median salary or wages"
"Richardo Cocher","M","2938",79,"Argiculture","Affluent Customer","No",2,"53","Hintze Circle",4005,"QLD","Australia",7,"Low-Value",-27.4640051228016,153.045494530801,"18-24","Managerial",62371
"Niki Heathcote","M","59",60,"IT","High Net Worth","No",3,"413","Mayer Street",2046,"NSW","Australia",9,"Mid-Value",-33.8642599909091,151.127724375401,"18-24","Administrative",64658
"Christyna Feldberg","F","1390",74,"Retail","High Net Worth","Yes",1,"2701","Talmadge Junction",3082,"VIC","Australia",7,"High-Value",-37.6693415014391,145.065420949923,"18-24","Administrative",47850
"Marris Waison","F","1392",28,"Financial Services","Mass Customer","No",1,"2570","Tony Way",3752,"VIC","Australia",6,"Low-Value",-37.6216602039324,145.070314484389,"18-24","Managerial",50958
"Odilia Bick","F","2337",47,"Health","Mass Customer","No",1,"2","Straubel Lane",2477,"NSW","Australia",6,"Low-Value",-28.87271744,153.438992172172,"18-24","Technical",41494
"Sebastian Trass","M","1229",38,"Manufacturing","Affluent Customer","Yes",1,"7929","Grasskamp Trail",2119,"NSW","Australia",11,"High-Value",-33.75366255,151.068811745369,"18-24","Technical",60524
"Griselda Bezants","F","3423",57,"Health","Affluent Customer","No",1,"9","Ronald Regan Center",3094,"VIC","Australia",9,"Low-Value",-37.7190599742759,145.124990952366,"18-24","Healthcare",53738
"Monah Talbot","F","1080",70,"Property","Mass Customer","Yes",2,"7","Del Sol Road",4220,"QLD","Australia",9,"Low-Value",-28.079773689581,153.434216980688,"18-24","Healthcare",46290
"Alvy Tyndall","M","2431",15,"Financial Services","Mass Customer","Yes",2,"309","Shopko Center",4211,"QLD","Australia",10,"Low-Value",-28.0244485640352,153.274217931672,"18-24","Quantitative",46451
"Jerome Muggeridge","M","435",5,"Telecommunications","Mass Customer","No",1,"4284","Surrey Circle",2068,"NSW","Australia",12,"Low-Value",-33.79891372,151.201169683081,"18-24","Technical",66413
"Tomlin Hastwall","M","644",59,"Health","Affluent Customer","No",2,"598","Randy Way",2380,"NSW","Australia",1,"Low-Value",-32.053181855,149.058700248913,"18-24","Other",48762
"Cy Braim","M","2833",60,"IT","Mass Customer","Yes",3,"2038","Esker Road",2650,"NSW","Australia",4,"High-Value",-35.1303987188179,147.287771357235,"18-24","Other",48139
"Ozzy Silver","M","1599",65,"Manufacturing","Affluent Customer","No",1,"2390","Blackbird Point",2035,"NSW","Australia",11,"High-Value",-33.9416932640056,151.237771392207,"18-24","Technical",56401
"Nina Murcutt","F","803",96,"Manufacturing","High Net Worth","No",3,"1899","Manley Court",4551,"QLD","Australia",7,"Mid-Value",-26.8070359170543,153.121601431189,"18-24","Technical",44940
"Andrea Wildber","M","3063",74,"Financial Services","Affluent Customer","No",2,"922","Mccormick Circle",4509,"QLD","Australia",6,"Low-Value",-27.2142446550058,153.025277069909,"18-24","Managerial",53595
"Tonnie Andryunin","M","1436",40,"Manufacturing","Affluent Customer","No",3,"14155","Evergreen Way",2756,"NSW","Australia",8,"Mid-Value",-33.5693960169725,150.820019754339,"18-24","Managerial",51597
"Sylvan Sugge","M","1811",59,"Financial Services","Mass Customer","No",1,"1","Monterey Terrace",2011,"NSW","Australia",12,"High-Value",-33.872475036036,151.224430508018,"18-24","Technical",64198
"Reinhold Barthrup","M","3460",22,"Financial Services","Mass Customer","No",2,"33","Almo Terrace",3051,"VIC","Australia",10,"Mid-Value",-37.8015621479412,144.949372502945,"18-24","Quantitative",46366
"April Causon","F","967",44,"Manufacturing","Affluent Customer","Yes",1,"1","Ridgeway Court",3241,"VIC","Australia",5,"Low-Value",-38.2509027,143.956313663301,"18-24","Other",44280
"Hyacinthia Tuley","F","2006",33,"Property","High Net Worth","Yes",2,"4","Rowland Plaza",2324,"NSW","Australia",4,"Low-Value",-32.7319085934959,151.838937619334,"18-24","Technical",45802
"Meryl Dumbar","M","951",44,"Entertainment","Mass Customer","No",1,"7","Starling Crossing",2570,"NSW","Australia",9,"High-Value",-34.0126402475969,150.71829235355,"18-24","Administrative",56069
"Clara Jakel","F","2342",87,"Manufacturing","Mass Customer","No",2,"5","Stoughton Parkway",2099,"NSW","Australia",9,"Low-Value",-33.7485063201475,151.28461830512,"18-24","Other",52108
"Salem Doiley","M","2093",94,"Financial Services","High Net Worth","No",2,"9953","Kim Lane",2330,"NSW","Australia",4,"Mid-Value",-32.6556815916667,150.991630502876,"18-24","Technical",55932
"Kellia Martugin","F","2521",35,"Manufacturing","High Net Worth","Yes",3,"3","American Ash Parkway",3342,"VIC","Australia",7,"Low-Value",-37.6415345428571,144.226931996134,"18-24","Technical",51437
"Viki Drache","F","3055",96,"Entertainment","Mass Customer","Yes",2,"99142","Eastwood Way",4870,"QLD","Australia",6,"Mid-Value",-16.9158819543093,145.756433862085,"18-24","Managerial",45753
"Mahmud Dobbson","M","842",59,"Financial Services","High Net Worth","No",2,"511","Gulseth Plaza",3028,"VIC","Australia",6,"Low-Value",-37.8731902324605,144.763129099591,"18-24","Technical",50074
"Thorn Torfin","M","1028",10,"Health","High Net Worth","No",1,"15393","Cody Lane",2046,"NSW","Australia",9,"High-Value",-33.8642599909091,151.127724375401,"18-24","Managerial",64658
"Aarika Van Vuuren","F","164",55,"Retail","Affluent Customer","Yes",1,"2054","Sommers Pass",4113,"QLD","Australia",4,"Low-Value",-27.5891353029754,153.083304703618,"18-24","Other",41590
"Katrina Sappson","F","931",59,"Manufacturing","Affluent Customer","Yes",1,"3403","Spenser Terrace",3143,"VIC","Australia",8,"Mid-Value",-37.8550511871429,145.019570063924,"18-24","Technical",58114
"Karen La Wille","F","2755",66,"Manufacturing","Mass Customer","Yes",1,"2241","Pearson Plaza",4503,"QLD","Australia",6,"High-Value",-27.2353301176035,152.976109015268,"18-24","Technical",49716
"Winny Cakes","M","2929",97,"Retail","Mass Customer","No",2,"415","Walton Lane",4883,"QLD","Australia",3,"High-Value",-17.2662143,145.472253554233,"18-24","Healthcare",40360
"Cliff Nolin","M","3386",24,"IT","High Net Worth","Yes",2,"367","Talmadge Way",2705,"NSW","Australia",1,"High-Value",-34.5584469988486,146.399502493401,"18-24","Technical",47217
"Kalli Pigeram","F","1430",86,"Manufacturing","Mass Customer","Yes",3,"7847","Buell Trail",2759,"NSW","Australia",8,"Low-Value",-33.7992847606085,150.79264970355,"18-24","Quantitative",53438
"Boyd","M","3188",94,"Financial Services","Mass Customer","No",1,"7","Kingsford Parkway",3085,"VIC","Australia",9,"Low-Value",-37.7215381504673,145.100004126833,"18-24","Quantitative",54600
"Leanora Calbert","F","2259",83,"Financial Services","Affluent Customer","No",2,"8","Buell Crossing",2320,"NSW","Australia",5,"Low-Value",-32.7150051901162,151.490457447248,"18-24","Technical",50482
"Henrietta Seater","F","804",98,"Health","High Net Worth","Yes",1,"15067","Commercial Pass",4006,"QLD","Australia",7,"Mid-Value",-27.449879339197,153.033326356992,"18-24","Other",51078
"Marc Egleton","M","914",73,"Manufacturing","Affluent Customer","Yes",2,"87140","Mandrake Lane",3124,"VIC","Australia",8,"Low-Value",-37.8321231737466,145.068192335726,"18-24","Technical",54127
"Lettie McGenis","F","3152",6,"Financial Services","High Net Worth","Yes",3,"250","Onsgard Center",4034,"QLD","Australia",7,"High-Value",-27.3585811122162,153.034066724728,"18-24","Other",51822
"Horacio Kitchin","M","2543",41,"Manufacturing","Affluent Customer","No",2,"1","Straubel Alley",2117,"NSW","Australia",10,"Mid-Value",-33.797093772973,151.04006832158,"18-24","Technical",50400
"Hewett Alessandretti","M","1984",70,"Health","Mass Customer","Yes",1,"681","School Avenue",2077,"NSW","Australia",10,"Mid-Value",-33.6980445928744,151.104008512776,"18-24","Managerial",55235
"Fredi Iannuzzelli","F","334",71,"Financial Services","Affluent Customer","Yes",3,"3093","Mockingbird Place",3356,"VIC","Australia",2,"Mid-Value",-37.5924574214286,143.830890242454,"18-24","Other",42986
"Levy Bonavia","M","377",65,"Argiculture","Mass Customer","No",1,"259","Barnett Crossing",2265,"NSW","Australia",5,"High-Value",-33.06874251,151.441266382669,"18-24","Quantitative",46409
"Dev Hafner","M","351",69,"Health","Mass Customer","Yes",2,"98","Sutteridge Point",3131,"VIC","Australia",10,"High-Value",-37.8269380931825,145.166757526728,"18-24","Healthcare",50090
"Eda MacCheyne","F","3133",89,"Manufacturing","Mass Customer","No",2,"21","2nd Pass",2566,"NSW","Australia",8,"High-Value",-34.0245521928571,150.840027092552,"18-24","Technical",49474
"Henderson Koubek","M","2620",26,"Manufacturing","Mass Customer","No",1,"61","Northfield Pass",2190,"NSW","Australia",10,"High-Value",-33.900851,151.055369964887,"18-24","Technical",43352
"Elysee Spurr","F","3379",51,"Health","Mass Customer","Yes",2,"0","Magdeline Way",3146,"VIC","Australia",11,"Mid-Value",-37.8557180075472,145.059519019569,"18-24","Healthcare",58650
"Stephana Minero","F","361",59,"Health","Mass Customer","Yes",2,"66286","Homewood Alley",2075,"NSW","Australia",11,"Low-Value",-33.7245733836491,151.161163455443,"18-24","Technical",61904
"Tish Netti","F","421",26,"Retail","Mass Customer","Yes",2,"690","Hanson Center",2330,"NSW","Australia",3,"Mid-Value",-32.6556815916667,150.991630502876,"18-24","Administrative",55932
"Jayme Baunton","F","586",63,"Manufacturing","Mass Customer","No",4,"61493","Manufacturers Junction",2539,"NSW","Australia",9,"Low-Value",-35.3696734396226,150.435555237905,"18-24","Managerial",37452
"Reinwald Sinkins","M","2741",6,"Property","High Net Worth","No",4,"259","Summerview Center",4740,"QLD","Australia",2,"Mid-Value",-21.1229617040444,149.192090253298,"18-24","Quantitative",54635
"Sybilla O' Markey","F","3131",63,"Retail","Affluent Customer","Yes",3,"98202","Holmberg Way",3149,"VIC","Australia",10,"High-Value",-37.8829279917409,145.136752005058,"18-24","Quantitative",50122
"Caryl Linnett","M","875",34,"Financial Services","Mass Customer","Yes",2,"9254","Straubel Street",3034,"VIC","Australia",9,"Mid-Value",-37.7571143,144.864537647522,"18-24","Managerial",50679
"Orlando Gniewosz","M","2704",6,"Retail","Affluent Customer","Yes",3,"3","Vermont Alley",2261,"NSW","Australia",5,"Low-Value",-33.3532840198413,151.470188067694,"18-24","Administrative",46714
"Scottie Swiffen","M","116",49,"Manufacturing","Affluent Customer","Yes",2,"349","Farmco Terrace",2168,"NSW","Australia",8,"High-Value",-33.9135284625,150.877696297317,"18-24","Administrative",46604
"Georgie Henze","M","3357",25,"Manufacturing","Affluent Customer","No",4,"5","Sachs Terrace",4207,"QLD","Australia",4,"Mid-Value",-27.7299240994603,153.191237398608,"18-24","Technical",47124
"Bjorn Isitt","M","2744",59,"Financial Services","Mass Customer","No",3,"33297","Hoepker Way",2843,"NSW","Australia",1,"Low-Value",-31.8098806821739,149.762376061531,"18-24","Technical",38297
"Davita Pristnor","F","1724",28,"Entertainment","High Net Worth","Yes",4,"5676","Golf View Junction",2137,"NSW","Australia",12,"Low-Value",-33.8535504297297,151.103234411333,"18-24","Administrative",58719
"Loraine Beamish","F","2302",43,"Retail","Mass Customer","Yes",4,"4","Delaware Terrace",3804,"VIC","Australia",8,"Low-Value",-37.9867310008621,145.318248037763,"18-24","Technical",46829
"Cammy Marcroft","M","906",73,"Financial Services","High Net Worth","Yes",3,"1","Cottonwood Street",3150,"VIC","Australia",9,"High-Value",-37.8900078653203,145.171974902058,"25-34","Technical",48444
"Lorianna Vidyapin","F","772",12,"Entertainment","Mass Customer","No",4,"50851","Vahlen Avenue",2567,"NSW","Australia",7,"High-Value",-34.0428135076923,150.744314553532,"25-34","Technical",55859
"Marc Waddilove","M","826",92,"Financial Services","Mass Customer","Yes",1,"177","Sheridan Trail",2759,"NSW","Australia",8,"High-Value",-33.7992847606085,150.79264970355,"25-34","Managerial",53438
"Robers Richen","M","3494",72,"Argiculture","High Net Worth","No",1,"35","Chive Alley",2033,"NSW","Australia",10,"High-Value",-33.9117303858503,151.222006736082,"25-34","Administrative",52238
"Ganny Alessandrelli","M","2203",13,"Health","High Net Worth","Yes",2,"59929","West Alley",2026,"NSW","Australia",10,"Mid-Value",-33.890394873125,151.268282356468,"25-34","Other",60000
"Merilyn Dikle","F","1415",68,"Property","High Net Worth","Yes",3,"837","Evergreen Junction",2774,"NSW","Australia",8,"Low-Value",-33.7223682647725,150.603606135087,"25-34","Administrative",56024
"Philippine Maycey","F","2828",37,"Health","High Net Worth","Yes",4,"54","Green Point",3015,"VIC","Australia",10,"Low-Value",-37.8399445232558,144.882048799139,"25-34","Administrative",63278
"Trisha Basset","F","2201",56,"Financial Services","Affluent Customer","Yes",1,"11","Sage Place",4055,"QLD","Australia",7,"Mid-Value",-27.408081697118,152.92417919069,"25-34","Technical",57998
"Lindsay Acaster","F","704",49,"Health","Mass Customer","No",4,"70836","Colorado Plaza",2571,"NSW","Australia",11,"High-Value",-34.2510812080151,150.540778382001,"25-34","Healthcare",55356
"Rosabelle Hollington","F","1534",74,"Manufacturing","Mass Customer","No",4,"213","Alpine Avenue",2168,"NSW","Australia",9,"Mid-Value",-33.9135284625,150.877696297317,"25-34","Administrative",46604
"Phelia Perotti","F","774",79,"Manufacturing","High Net Worth","No",1,"0","Thompson Road",3183,"VIC","Australia",8,"Low-Value",-37.8692014035714,144.995123224055,"25-34","Other",51931
"Hiram Kittiman","M","1432",70,"Argiculture","High Net Worth","Yes",2,"1617","Beilfuss Street",2759,"NSW","Australia",8,"Mid-Value",-33.7992847606085,150.79264970355,"25-34","Quantitative",53438
"Laraine Merioth","F","2016",89,"Retail","Affluent Customer","Yes",1,"3","Memorial Junction",2126,"NSW","Australia",11,"Mid-Value",-33.724037725,151.041793144464,"25-34","Administrative",58535
"Betsy Schruurs","F","1278",14,"Health","Affluent Customer","No",2,"41","Knutson Alley",4370,"QLD","Australia",4,"Low-Value",-28.2251126039527,152.023016243551,"25-34","Healthcare",43713
"Morissa Ozintsev","F","1428",93,"Retail","High Net Worth","No",1,"1231","Grim Road",2760,"NSW","Australia",8,"High-Value",-33.7559696774725,150.778536826156,"25-34","Administrative",50947
"Franzen Kielty","M","2147",42,"Manufacturing","High Net Worth","Yes",1,"4559","Sundown Trail",2148,"NSW","Australia",8,"Low-Value",-33.7746678359649,150.902494340217,"25-34","Technical",49140
"Gerome Lawrenz","M","2626",42,"Property","Affluent Customer","Yes",4,"6","Warbler Road",2462,"NSW","Australia",5,"Mid-Value",-29.700323565625,153.136257685654,"25-34","Administrative",37272
"Cicily Jenks","F","1334",72,"Financial Services","Mass Customer","No",4,"433","Mockingbird Center",3840,"VIC","Australia",2,"Low-Value",-38.2450609725806,146.427390856706,"25-34","Technical",44700
