"customer_name","gender","age","customer_id","past_3_years_bike_related_purchases","job_title","job_industry_category","wealth_segment","owns_car","tenure","street_number","street_name","postcode","state","country","property_valuation","Recency","Frequency","Monetary","RFM_Score","Target"
"Terri Gornal","M",22,3112,41,"Internal Auditor","Retail","High Net Worth","Yes",1,"944","Becker Road",3162,"VIC","Australia",11,2192,8,3035.96,443,"High-Value"
"Sorcha Keyson","F",22,19,76,"Geological Engineer","Manufacturing","High Net Worth","No",1,"59","Spaight Circle",2233,"NSW","Australia",9,2461,2,1736.45,111,"Low-Value"
"Isador Hallitt","M",22,1355,37,"VP Quality Control","Property","Mass Customer","No",1,"7006","Miller Avenue",3444,"VIC","Australia",4,2189,5,2713.72,422,"High-Value"
"Molli Hagergham","F",22,2812,16,"Budget/Accounting Analyst IV","Retail","High Net Worth","Yes",1,"5636","Glendale Point",2769,"NSW","Australia",10,2268,6,4558.55,234,"Mid-Value"
"Terrijo Merlin","F",22,3014,59,"Software Engineer II","Property","High Net Worth","No",1,"26378","Esch Junction",2065,"NSW","Australia",10,2200,9,4656.84,344,"High-Value"
"Darnell Wistance","M",22,2600,55,"Senior Financial Analyst","Financial Services","Mass Customer","Yes",1,"37258","Stephen Place",4116,"QLD","Australia",9,2352,3,3233.77,113,"Low-Value"
"Byran Goodfield","M",22,829,84,"Environmental Tech","Financial Services","High Net Worth","Yes",2,"77","Nova Junction",3218,"VIC","Australia",8,2193,6,4600.24,434,"High-Value"
"Gavra Woolvin","F",22,2869,19,"Chemical Engineer","Manufacturing","Affluent Customer","No",2,"4470","Mcguire Trail",2070,"NSW","Australia",9,2297,6,1914.91,132,"Low-Value"
"Isadora Gronaller","F",22,2392,48,"Marketing Assistant","Manufacturing","Affluent Customer","No",2,"69810","Westridge Avenue",2573,"NSW","Australia",6,2207,5,1547.88,321,"Mid-Value"
"Kimball Martinho","M",22,2588,37,"Professor","Health","High Net Worth","No",2,"50","Londonderry Park",2034,"NSW","Australia",10,2359,3,3493.49,113,"Low-Value"
"Quintana Housley","F",23,2998,34,"Nurse Practicioner","Manufacturing","High Net Worth","Yes",2,"99","Lawn Court",4556,"QLD","Australia",7,2247,3,2511.7,212,"Low-Value"
"Melisse Massei","F",23,3367,75,"Librarian","Entertainment","Mass Customer","Yes",1,"3","Weeping Birch Plaza",3677,"VIC","Australia",2,2263,6,4779.07,234,"Mid-Value"
"Emelda Ramsdell","F",23,3459,62,"Assistant Media Planner","Entertainment","Mass Customer","Yes",2,"654","Logan Plaza",4113,"QLD","Australia",10,2247,3,2667.14,212,"Low-Value"
"Margalit Dorwood","F",23,609,32,"Computer Systems Analyst II","Health","Mass Customer","No",1,"55","Birchwood Alley",2176,"NSW","Australia",9,2217,4,2168.73,312,"Mid-Value"
"Dayle Spearman","F",23,913,67,"VP Marketing","Financial Services","Mass Customer","No",1,"2","Derek Pass",2222,"NSW","Australia",7,2294,3,2426.34,112,"Low-Value"
"Mort","M",23,2989,37,"Dental Hygienist","Health","High Net Worth","Yes",2,"60","Fulton Trail",2234,"NSW","Australia",10,2251,9,6845.06,244,"Mid-Value"
"Charisse Thoresby","F",23,854,35,"Marketing Manager","IT","Affluent Customer","No",2,"56","Graceland Alley",3031,"VIC","Australia",7,2189,4,2074.13,412,"High-Value"
"Karee Hyman","F",23,1354,0,"Analyst Programmer","Financial Services","Affluent Customer","No",2,"0","Ramsey Place",3444,"VIC","Australia",4,2255,3,2464.54,212,"Low-Value"
"Eunice Risom","F",23,1798,46,"Electrical Engineer","Manufacturing","High Net Worth","Yes",1,"93","Lakeland Court",3810,"VIC","Australia",6,2194,7,2934.76,433,"High-Value"
"Mirelle","F",23,2398,6,"Administrative Assistant IV","Financial Services","High Net Worth","Yes",1,"57","Tennessee Alley",4034,"QLD","Australia",5,2294,3,746.2,111,"Low-Value"
"Nevin Hanfrey","M",23,850,79,"Clinical Specialist","Health","Mass Customer","No",1,"36","Kedzie Terrace",2163,"NSW","Australia",9,2215,8,2838.72,343,"High-Value"
"Queenie Flips","F",23,3015,25,"Assistant Manager","Retail","Affluent Customer","No",1,"2942","Swallow Trail",4214,"QLD","Australia",9,2227,9,6616.36,244,"Mid-Value"
"Eva Colenutt","F",23,373,95,"Structural Analysis Engineer","Health","High Net Worth","Yes",1,"67884","Fair Oaks Parkway",3931,"VIC","Australia",9,2404,1,1103.43,111,"Low-Value"
"Emelen Gillopp","M",23,3077,19,"Information Systems Manager","Manufacturing","Affluent Customer","No",2,"25578","Mayfield Drive",2099,"NSW","Australia",10,2197,7,3672.15,433,"High-Value"
"Sascha St. Quintin","M",23,110,23,"VP Accounting","Financial Services","Affluent Customer","No",1,"5","Moose Road",3977,"VIC","Australia",8,2195,7,2621.55,432,"High-Value"
"Emera Margrem","F",23,1778,72,"Staff Accountant III","Property","Mass Customer","Yes",2,"8","Vermont Pass",3930,"VIC","Australia",9,2493,2,2040.87,112,"Low-Value"
"Xena Rossbrooke","F",23,1185,17,"VP Product Management","Retail","Mass Customer","Yes",2,"86","Stang Way",2213,"NSW","Australia",10,2190,3,773.81,411,"High-Value"
"Elinor Biggerstaff","F",23,2024,69,"VP Sales","IT","Mass Customer","Yes",2,"53358","David Circle",4306,"QLD","Australia",3,2210,6,3558.41,333,"Mid-Value"
"Erroll Radage","M",23,15,91,"Junior Executive","Manufacturing","Mass Customer","No",1,"9861","New Castle Avenue",2428,"NSW","Australia",9,2216,6,1728.39,331,"Mid-Value"
"Ado Yaldren","M",23,2645,20,"Technical Writer","IT","High Net Worth","Yes",1,"78","Shasta Place",2135,"NSW","Australia",12,2213,6,1500.81,331,"Mid-Value"
"Rockie MacCosty","M",23,1951,93,"Health Coach II","Manufacturing","Mass Customer","Yes",2,"2","Manufacturers Parkway",3199,"VIC","Australia",6,2299,8,4514.84,144,"Low-Value"
"Siegfried Trattles","M",23,1076,33,"Pharmacist","Health","Affluent Customer","No",2,"44","Ramsey Road",2515,"NSW","Australia",9,2190,12,8104.54,444,"High-Value"
"Meagan Ferry","F",23,2731,74,"Accounting Assistant III","Retail","Mass Customer","Yes",1,"4","Schmedeman Court",2196,"NSW","Australia",10,2184,4,1513.52,411,"High-Value"
"Roch Rilston","F",23,3482,71,"Clinical Specialist","Health","Affluent Customer","Yes",2,"54613","Service Court",4069,"QLD","Australia",8,2208,8,5549.59,344,"High-Value"
"Meggi Shipcott","F",23,2729,76,"General Manager","Health","Mass Customer","Yes",1,"304","Moland Street",3810,"VIC","Australia",5,2187,6,5280.35,434,"High-Value"
"Aloysius Huffer","M",23,2504,52,"Statistician II","Property","Mass Customer","No",2,"7","Lake View Street",4060,"QLD","Australia",9,2274,5,3270.94,123,"Low-Value"
"Rabi Nissle","M",23,519,83,"Statistician III","Retail","Mass Customer","Yes",1,"2595","Grover Drive",3124,"VIC","Australia",12,2236,4,2326.39,212,"Low-Value"
"Zed Blanckley","M",23,3201,61,"Assistant Professor","Financial Services","Mass Customer","Yes",1,"20","Bartillon Park",2767,"NSW","Australia",8,2202,7,5655.87,334,"Mid-Value"
"Cleveland Islep","M",23,2541,17,"Software Engineer II","Financial Services","High Net Worth","Yes",2,"6865","Duke Trail",2234,"NSW","Australia",10,2201,2,1918.88,312,"Mid-Value"
"Orson Tythacott","M",23,3363,25,"Electrical Engineer","Manufacturing","High Net Worth","Yes",3,"8","Village Street",4825,"QLD","Australia",5,2185,6,1800.72,432,"High-Value"
"Wood Nathan","M",23,3089,27,"Web Developer III","Manufacturing","Affluent Customer","Yes",2,"7","Westridge Terrace",4504,"QLD","Australia",7,2208,4,3618.44,313,"Mid-Value"
"Crosby Ruoff","M",23,2134,16,"Nurse","Manufacturing","Affluent Customer","No",2,"654","Kim Parkway",3175,"VIC","Australia",3,2262,5,3923.57,223,"Mid-Value"
"Richardo Cocher","M",23,2938,79,"Assistant Manager","Argiculture","Affluent Customer","No",2,"53","Hintze Circle",4005,"QLD","Australia",7,2306,5,4655.53,124,"Low-Value"
"Niki Heathcote","M",23,59,60,"Physical Therapy Assistant","IT","High Net Worth","No",3,"413","Mayer Street",2046,"NSW","Australia",9,2203,3,2628.37,312,"Mid-Value"
"Christyna Feldberg","F",23,1390,74,"Accounting Assistant I","Retail","High Net Worth","Yes",1,"2701","Talmadge Junction",3082,"VIC","Australia",7,2182,9,3474.54,443,"High-Value"
"Marris Waison","F",23,1392,28,"Human Resources Manager","Financial Services","Mass Customer","No",1,"2570","Tony Way",3752,"VIC","Australia",6,2288,3,3196.27,113,"Low-Value"
"Odilia Bick","F",23,2337,47,"Programmer Analyst II","Health","Mass Customer","No",1,"2","Straubel Lane",2477,"NSW","Australia",6,2353,3,398.43,111,"Low-Value"
"Sebastian Trass","M",23,1229,38,"GIS Technical Architect","Manufacturing","Affluent Customer","Yes",1,"7929","Grasskamp Trail",2119,"NSW","Australia",11,2200,9,3005.63,343,"High-Value"
"Griselda Bezants","F",24,3423,57,"Registered Nurse","Health","Affluent Customer","No",1,"9","Ronald Regan Center",3094,"VIC","Australia",9,2258,4,751.32,211,"Low-Value"
"Monah Talbot","F",24,1080,70,"Speech Pathologist","Property","Mass Customer","Yes",2,"7","Del Sol Road",4220,"QLD","Australia",9,2228,3,1857.62,212,"Low-Value"
"Alvy Tyndall","M",24,2431,15,"Senior Cost Accountant","Financial Services","Mass Customer","Yes",2,"309","Shopko Center",4211,"QLD","Australia",10,2399,2,167.63,111,"Low-Value"
"Jerome Muggeridge","M",24,435,5,"GIS Technical Architect","Telecommunications","Mass Customer","No",1,"4284","Surrey Circle",2068,"NSW","Australia",12,2283,4,4727.75,114,"Low-Value"
"Tomlin Hastwall","M",24,644,59,"Administrative Officer","Health","Affluent Customer","No",2,"598","Randy Way",2380,"NSW","Australia",1,2338,3,550,111,"Low-Value"
"Cy Braim","M",24,2833,60,"Administrative Officer","IT","Mass Customer","Yes",3,"2038","Esker Road",2650,"NSW","Australia",4,2197,6,2638.92,432,"High-Value"
"Ozzy Silver","M",24,1599,65,"Programmer Analyst II","Manufacturing","Affluent Customer","No",1,"2390","Blackbird Point",2035,"NSW","Australia",11,2200,11,4855.5,344,"High-Value"
"Nina Murcutt","F",24,803,96,"Nuclear Power Engineer","Manufacturing","High Net Worth","No",3,"1899","Manley Court",4551,"QLD","Australia",7,2247,6,1746.55,231,"Mid-Value"
"Andrea Wildber","M",24,3063,74,"VP Sales","Financial Services","Affluent Customer","No",2,"922","Mccormick Circle",4509,"QLD","Australia",6,2273,4,263.28,111,"Low-Value"
"Tonnie Andryunin","M",24,1436,40,"General Manager","Manufacturing","Affluent Customer","No",3,"14155","Evergreen Way",2756,"NSW","Australia",8,2253,5,3404.37,223,"Mid-Value"
"Sylvan Sugge","M",24,1811,59,"Senior Financial Analyst","Financial Services","Mass Customer","No",1,"1","Monterey Terrace",2011,"NSW","Australia",12,2213,8,6493.8,344,"High-Value"
"Reinhold Barthrup","M",24,3460,22,"Actuary","Financial Services","Mass Customer","No",2,"33","Almo Terrace",3051,"VIC","Australia",10,2236,9,8321.81,244,"Mid-Value"
"April Causon","F",24,967,44,"Sales Associate","Manufacturing","Affluent Customer","Yes",1,"1","Ridgeway Court",3241,"VIC","Australia",5,2247,4,3798.35,213,"Low-Value"
"Hyacinthia Tuley","F",24,2006,33,"Senior Developer","Property","High Net Worth","Yes",2,"4","Rowland Plaza",2324,"NSW","Australia",4,2328,5,2255.61,122,"Low-Value"
"Meryl Dumbar","M",24,951,44,"Assistant Media Planner","Entertainment","Mass Customer","No",1,"7","Starling Crossing",2570,"NSW","Australia",9,2187,6,1740.61,431,"High-Value"
"Clara Jakel","F",24,2342,87,"Geologist III","Manufacturing","Mass Customer","No",2,"5","Stoughton Parkway",2099,"NSW","Australia",9,2246,2,1647.51,211,"Low-Value"
"Salem Doiley","M",24,2093,94,"Programmer II","Financial Services","High Net Worth","No",2,"9953","Kim Lane",2330,"NSW","Australia",4,2241,6,3660.48,233,"Mid-Value"
"Kellia Martugin","F",24,2521,35,"Chemical Engineer","Manufacturing","High Net Worth","Yes",3,"3","American Ash Parkway",3342,"VIC","Australia",7,2389,3,2105.39,112,"Low-Value"
"Viki Drache","F",24,3055,96,"General Manager","Entertainment","Mass Customer","Yes",2,"99142","Eastwood Way",4870,"QLD","Australia",6,2239,10,5955.54,244,"Mid-Value"
"Mahmud Dobbson","M",24,842,59,"Compensation Analyst","Financial Services","High Net Worth","No",2,"511","Gulseth Plaza",3028,"VIC","Australia",6,2236,3,1727.32,211,"Low-Value"
"Thorn Torfin","M",24,1028,10,"Project Manager","Health","High Net Worth","No",1,"15393","Cody Lane",2046,"NSW","Australia",9,2189,7,7562.68,434,"High-Value"
"Aarika Van Vuuren","F",24,164,55,"Senior Editor","Retail","Affluent Customer","Yes",1,"2054","Sommers Pass",4113,"QLD","Australia",4,2379,3,786.14,111,"Low-Value"
"Katrina Sappson","F",24,931,59,"Design Engineer","Manufacturing","Affluent Customer","Yes",1,"3403","Spenser Terrace",3143,"VIC","Australia",8,2251,5,2890.06,223,"Mid-Value"
"Karen La Wille","F",24,2755,66,"Automation Specialist I","Manufacturing","Mass Customer","Yes",1,"2241","Pearson Plaza",4503,"QLD","Australia",6,2209,11,4904.13,344,"High-Value"
"Winny Cakes","M",24,2929,97,"Nurse","Retail","Mass Customer","No",2,"415","Walton Lane",4883,"QLD","Australia",3,2182,9,6692.39,444,"High-Value"
"Cliff Nolin","M",24,3386,24,"Structural Engineer","IT","High Net Worth","Yes",2,"367","Talmadge Way",2705,"NSW","Australia",1,2188,4,2522.69,412,"High-Value"
"Kalli Pigeram","F",24,1430,86,"Biostatistician I","Manufacturing","Mass Customer","Yes",3,"7847","Buell Trail",2759,"NSW","Australia",8,2289,5,1917.01,122,"Low-Value"
"Boyd","M",24,3188,94,"Actuary","Financial Services","Mass Customer","No",1,"7","Kingsford Parkway",3085,"VIC","Australia",9,2297,5,1363.16,121,"Low-Value"
"Leanora Calbert","F",24,2259,83,"Environmental Specialist","Financial Services","Affluent Customer","No",2,"8","Buell Crossing",2320,"NSW","Australia",5,2342,4,2600.49,112,"Low-Value"
"Henrietta Seater","F",24,804,98,"Technical Writer","Health","High Net Worth","Yes",1,"15067","Commercial Pass",4006,"QLD","Australia",7,2222,3,3065.9,313,"Mid-Value"
"Marc Egleton","M",24,914,73,"Chemical Engineer","Manufacturing","Affluent Customer","Yes",2,"87140","Mandrake Lane",3124,"VIC","Australia",8,2287,5,2530.93,122,"Low-Value"
"Lettie McGenis","F",24,3152,6,"Teacher","Financial Services","High Net Worth","Yes",3,"250","Onsgard Center",4034,"QLD","Australia",7,2192,6,2168.41,432,"High-Value"
"Horacio Kitchin","M",24,2543,41,"Web Developer III","Manufacturing","Affluent Customer","No",2,"1","Straubel Alley",2117,"NSW","Australia",10,2203,4,4303.86,314,"Mid-Value"
"Hewett Alessandretti","M",24,1984,70,"Information Systems Manager","Health","Mass Customer","Yes",1,"681","School Avenue",2077,"NSW","Australia",10,2229,7,7256.08,234,"Mid-Value"
"Fredi Iannuzzelli","F",24,334,71,"Financial Advisor","Financial Services","Affluent Customer","Yes",3,"3093","Mockingbird Place",3356,"VIC","Australia",2,2237,6,2127.59,232,"Mid-Value"
"Levy Bonavia","M",24,377,65,"Staff Scientist","Argiculture","Mass Customer","No",1,"259","Barnett Crossing",2265,"NSW","Australia",5,2187,11,4124.42,444,"High-Value"
"Dev Hafner","M",24,351,69,"Pharmacist","Health","Mass Customer","Yes",2,"98","Sutteridge Point",3131,"VIC","Australia",10,2192,2,1438.62,411,"High-Value"
"Eda MacCheyne","F",24,3133,89,"Quality Control Specialist","Manufacturing","Mass Customer","No",2,"21","2nd Pass",2566,"NSW","Australia",8,2192,6,2323.16,432,"High-Value"
"Henderson Koubek","M",24,2620,26,"Civil Engineer","Manufacturing","Mass Customer","No",1,"61","Northfield Pass",2190,"NSW","Australia",10,2211,8,4919.55,344,"High-Value"
"Elysee Spurr","F",24,3379,51,"Food Chemist","Health","Mass Customer","Yes",2,"0","Magdeline Way",3146,"VIC","Australia",11,2201,6,5599.08,334,"Mid-Value"
"Stephana Minero","F",24,361,59,"Software Engineer IV","Health","Mass Customer","Yes",2,"66286","Homewood Alley",2075,"NSW","Australia",11,2327,7,3428.15,133,"Low-Value"
"Tish Netti","F",24,421,26,"Sales Representative","Retail","Mass Customer","Yes",2,"690","Hanson Center",2330,"NSW","Australia",3,2237,6,3952.15,233,"Mid-Value"
"Jayme Baunton","F",24,586,63,"Chief Design Engineer","Manufacturing","Mass Customer","No",4,"61493","Manufacturers Junction",2539,"NSW","Australia",9,2271,3,2562.47,112,"Low-Value"
"Reinwald Sinkins","M",24,2741,6,"Statistician II","Property","High Net Worth","No",4,"259","Summerview Center",4740,"QLD","Australia",2,2200,3,2316.34,312,"Mid-Value"
"Sybilla O' Markey","F",24,3131,63,"Statistician II","Retail","Affluent Customer","Yes",3,"98202","Holmberg Way",3149,"VIC","Australia",10,2198,8,2725.76,442,"High-Value"
"Caryl Linnett","M",24,875,34,"Recruiting Manager","Financial Services","Mass Customer","Yes",2,"9254","Straubel Street",3034,"VIC","Australia",9,2244,6,4796.96,234,"Mid-Value"
"Orlando Gniewosz","M",24,2704,6,"Account Representative IV","Retail","Affluent Customer","Yes",3,"3","Vermont Alley",2261,"NSW","Australia",5,2416,3,513.58,111,"Low-Value"
"Scottie Swiffen","M",24,116,49,"Assistant Professor","Manufacturing","Affluent Customer","Yes",2,"349","Farmco Terrace",2168,"NSW","Australia",8,2193,8,2447.54,442,"High-Value"
"Georgie Henze","M",24,3357,25,"Design Engineer","Manufacturing","Affluent Customer","No",4,"5","Sachs Terrace",4207,"QLD","Australia",4,2216,4,1441,311,"Mid-Value"
"Bjorn Isitt","M",24,2744,59,"Senior Financial Analyst","Financial Services","Mass Customer","No",3,"33297","Hoepker Way",2843,"NSW","Australia",1,2306,3,1264.73,111,"Low-Value"
"Davita Pristnor","F",24,1724,28,"Assistant Media Planner","Entertainment","High Net Worth","Yes",4,"5676","Golf View Junction",2137,"NSW","Australia",12,2284,4,958.58,111,"Low-Value"
"Loraine Beamish","F",24,2302,43,"Mechanical Systems Engineer","Retail","Mass Customer","Yes",4,"4","Delaware Terrace",3804,"VIC","Australia",8,2234,3,2611.15,212,"Low-Value"
"Cammy Marcroft","M",25,906,73,"Financial Analyst","Financial Services","High Net Worth","Yes",3,"1","Cottonwood Street",3150,"VIC","Australia",9,2197,9,4473.87,444,"High-Value"
"Lorianna Vidyapin","F",25,772,12,"Community Outreach Specialist","Entertainment","Mass Customer","No",4,"50851","Vahlen Avenue",2567,"NSW","Australia",7,2183,6,4423.8,434,"High-Value"
"Marc Waddilove","M",25,826,92,"Recruiting Manager","Financial Services","Mass Customer","Yes",1,"177","Sheridan Trail",2759,"NSW","Australia",8,2185,4,1454.61,411,"High-Value"
"Robers Richen","M",25,3494,72,"Account Representative IV","Argiculture","High Net Worth","No",1,"35","Chive Alley",2033,"NSW","Australia",10,2185,4,2755.11,412,"High-Value"
"Ganny Alessandrelli","M",25,2203,13,"Sales Associate","Health","High Net Worth","Yes",2,"59929","West Alley",2026,"NSW","Australia",10,2230,5,3469.05,223,"Mid-Value"
"Merilyn Dikle","F",25,1415,68,"Executive Secretary","Property","High Net Worth","Yes",3,"837","Evergreen Junction",2774,"NSW","Australia",8,2238,4,3062.52,213,"Low-Value"
"Philippine Maycey","F",25,2828,37,"Executive Secretary","Health","High Net Worth","Yes",4,"54","Green Point",3015,"VIC","Australia",10,2296,2,262.53,111,"Low-Value"
"Trisha Basset","F",25,2201,56,"Design Engineer","Financial Services","Affluent Customer","Yes",1,"11","Sage Place",4055,"QLD","Australia",7,2211,7,6291.68,334,"Mid-Value"
"Lindsay Acaster","F",25,704,49,"Research Nurse","Health","Mass Customer","No",4,"70836","Colorado Plaza",2571,"NSW","Australia",11,2191,10,4034.46,443,"High-Value"
"Rosabelle Hollington","F",25,1534,74,"Human Resources Assistant I","Manufacturing","Mass Customer","No",4,"213","Alpine Avenue",2168,"NSW","Australia",9,2227,7,3244.32,233,"Mid-Value"
"Phelia Perotti","F",25,774,79,"Operator","Manufacturing","High Net Worth","No",1,"0","Thompson Road",3183,"VIC","Australia",8,2324,1,144.26,111,"Low-Value"
"Hiram Kittiman","M",25,1432,70,"Tax Accountant","Argiculture","High Net Worth","Yes",2,"1617","Beilfuss Street",2759,"NSW","Australia",8,2214,6,3727.06,333,"Mid-Value"
"Laraine Merioth","F",25,2016,89,"Executive Secretary","Retail","Affluent Customer","Yes",1,"3","Memorial Junction",2126,"NSW","Australia",11,2249,6,2390.89,232,"Mid-Value"
"Betsy Schruurs","F",25,1278,14,"Pharmacist","Health","Affluent Customer","No",2,"41","Knutson Alley",4370,"QLD","Australia",4,2245,4,721.51,211,"Low-Value"
"Morissa Ozintsev","F",25,1428,93,"Sales Representative","Retail","High Net Worth","No",1,"1231","Grim Road",2760,"NSW","Australia",8,2196,10,5508.8,444,"High-Value"
"Franzen Kielty","M",25,2147,42,"Engineer IV","Manufacturing","High Net Worth","Yes",1,"4559","Sundown Trail",2148,"NSW","Australia",8,2306,3,1419.5,111,"Low-Value"
"Gerome Lawrenz","M",25,2626,42,"Account Coordinator","Property","Affluent Customer","Yes",4,"6","Warbler Road",2462,"NSW","Australia",5,2222,4,2023.95,312,"Mid-Value"
"Cicily Jenks","F",25,1334,72,"Senior Financial Analyst","Financial Services","Mass Customer","No",4,"433","Mockingbird Center",3840,"VIC","Australia",2,2421,2,719.98,111,"Low-Value"
"Keven Leahair","M",25,2875,71,"Financial Analyst","Financial Services","High Net Worth","No",2,"2241","Bonner Trail",4221,"QLD","Australia",9,2216,4,3231.91,313,"Mid-Value"
"Antonino Hogben","M",25,1187,65,"Help Desk Technician","Financial Services","Mass Customer","No",1,"53740","Vera Parkway",3644,"VIC","Australia",1,2239,3,831.25,211,"Low-Value"
"Lauretta Furmonger","F",25,2365,2,"Structural Analysis Engineer","Argiculture","Mass Customer","Yes",3,"743","Stone Corner Parkway",4127,"QLD","Australia",6,2182,5,2411.63,422,"High-Value"
"Myrta Whibley","F",25,2427,20,"Senior Developer","Health","High Net Worth","Yes",2,"96","Hintze Point",2147,"NSW","Australia",8,2184,6,4388.13,434,"High-Value"
"Jeth Tomes","M",25,2266,74,"General Manager","Retail","High Net Worth","No",1,"7037","North Park",2484,"NSW","Australia",6,2210,10,4169.83,344,"High-Value"
"Joachim","M",25,3095,14,"Staff Accountant IV","Retail","High Net Worth","Yes",2,"65620","Michigan Way",3141,"VIC","Australia",10,2217,5,2799.49,323,"Mid-Value"
"Kristien Dunne","F",25,2377,29,"Analog Circuit Design manager","IT","High Net Worth","No",2,"86686","Novick Center",3147,"VIC","Australia",11,2188,5,4707.55,424,"High-Value"
"Lavina Clavey","F",25,1380,99,"Financial Analyst","Financial Services","Mass Customer","No",3,"29","Mallory Circle",3791,"VIC","Australia",9,2379,3,2550.94,112,"Low-Value"
"Cary Cockerham","M",25,2300,20,"Paralegal","Financial Services","Mass Customer","Yes",3,"2","Nova Street",4228,"QLD","Australia",8,2198,4,2812.11,413,"High-Value"
